"district","Coderre","Bergeron","Joly","total","winner","result"
"101-Bois-de-Liesse",2481,1829,3024,7334,"Joly","plurality"
"102-Cap-Saint-Jacques",2525,1163,2675,6363,"Joly","plurality"
"11-Sault-au-Récollet",3348,2770,2532,8650,"Coderre","plurality"
"111-Mile-End",1734,4782,2514,9030,"Bergeron","majority"
"112-DeLorimier",1770,5933,3044,10747,"Bergeron","majority"
"113-Jeanne-Mance",1455,3599,2316,7370,"Bergeron","plurality"
"12-Saint-Sulpice",3252,2521,2543,8316,"Coderre","plurality"
"121-La Pointe-aux-Prairies",5456,1760,3330,10546,"Coderre","majority"
"122-Pointe-aux-Trembles",4734,1879,2852,9465,"Coderre","majority"
"123-Rivière-des-Prairies",5737,958,1656,8351,"Coderre","majority"
"13-Ahuntsic",2979,3430,2873,9282,"Bergeron","plurality"
"131-Saint-Édouard",1827,6408,2815,11050,"Bergeron","majority"
"132-Étienne-Desmarteau",2331,5748,2788,10867,"Bergeron","majority"
"133-Vieux-Rosemont",2670,4962,3234,10866,"Bergeron","plurality"
"134-Marie-Victorin",3673,3155,2431,9259,"Coderre","plurality"
"14-Bordeaux-Cartierville",3612,1554,2081,7247,"Coderre","plurality"
"141-Côte-de-Liesse",4308,1320,3959,9587,"Coderre","plurality"
"142-Norman-McLaren",4104,1459,2822,8385,"Coderre","plurality"
"151-Saint-Léonard-Est",3931,882,1641,6454,"Coderre","majority"
"152-Saint-Léonard-Ouest",5387,1184,1908,8479,"Coderre","majority"
"161-Saint-Henri?Petite-Bourgogne?Pointe-Saint-Charles",2432,3368,3578,9378,"Joly","plurality"
"162-Saint-Paul?Émard",2566,2092,2438,7096,"Coderre","plurality"
"171-Champlain?L'╫le-des-Soeurs",3347,2562,3291,9200,"Coderre","plurality"
"172-Desmarchais-Crawford",2476,2631,2849,7956,"Joly","plurality"
"181-Peter-McGill",1451,754,1894,4099,"Joly","plurality"
"182-Saint-Jacques",1906,2169,2282,6357,"Joly","plurality"
"183-Sainte-Marie",1347,2827,2271,6445,"Bergeron","plurality"
"191-Saint-Michel",3668,984,1220,5872,"Coderre","majority"
"192-François-Perrault",2878,2666,2039,7583,"Coderre","plurality"
"193-Villeray",2201,5819,2782,10802,"Bergeron","majority"
"194-Parc-Extension",2420,1793,1402,5615,"Coderre","plurality"
"21-Ouest",2184,691,1076,3951,"Coderre","majority"
"22-Est",1589,708,1172,3469,"Coderre","plurality"
"23-Centre",2526,851,1286,4663,"Coderre","majority"
"31-Darlington",1873,1182,1232,4287,"Coderre","plurality"
"32-Côte-des-Neiges",1644,1950,1578,5172,"Bergeron","plurality"
"33-Snowdon",1548,1503,1636,4687,"Joly","plurality"
"34-Notre-Dame-de-Grâce",1773,2653,3262,7688,"Joly","plurality"
"35-Loyola",2040,1437,2648,6125,"Joly","plurality"
"41-du Canal",1165,832,1266,3263,"Joly","plurality"
"42-J.-Émery-Provost",1193,653,1157,3003,"Coderre","plurality"
"43-Fort-Rolland",1325,1205,1908,4438,"Joly","plurality"
"51-Sault-Saint-Louis",4201,1642,3717,9560,"Coderre","plurality"
"52-Cecil-P.-Newman",3536,1330,2943,7809,"Coderre","plurality"
"61-Pierre-Foretier",631,258,998,1887,"Joly","majority"
"62-Denis-Benjamin-Viger",595,226,1068,1889,"Joly","majority"
"63-Jacques-Bizard",518,224,690,1432,"Joly","plurality"
"64-Sainte-Geneviève",332,131,326,789,"Coderre","plurality"
"71-Tétreaultville",3694,2589,3454,9737,"Coderre","plurality"
"72-Maisonneuve?Longue-Pointe",2746,3250,3139,9135,"Bergeron","plurality"
"73-Hochelaga",1546,3679,2675,7900,"Bergeron","plurality"
"74-Louis-Riel",3509,2178,2338,8025,"Coderre","plurality"
"81-Marie-Clarac",6591,1085,1435,9111,"Coderre","majority"
"82-Ovide-Clermont",6229,780,1051,8060,"Coderre","majority"
"91-Claude-Ryan",996,643,423,2062,"Coderre","plurality"
"92-Joseph-Beaubien",540,833,592,1965,"Bergeron","plurality"
"93-Robert-Bourassa",446,465,419,1330,"Bergeron","plurality"
"94-Jeanne-Sauvé",491,698,489,1678,"Bergeron","plurality"
