 LAUS Code,State FIPS Code,County FIPS Code,County Name/State Abbreviation,Year,Labor Force,Employed,Unemployed,Unemployment Rate (%)
CN0100100000000,01,001,"Autauga County, AL",2016,"25,649     ","24,297     ","1,352     ",5.3     
CN0100300000000,01,003,"Baldwin County, AL",2016,"89,931     ","85,061     ","4,870     ",5.4     
CN0100500000000,01,005,"Barbour County, AL",2016,"8,302     ","7,584     ",718     ,8.6     
CN0100700000000,01,007,"Bibb County, AL",2016,"8,573     ","8,004     ",569     ,6.6     
CN0100900000000,01,009,"Blount County, AL",2016,"24,525     ","23,171     ","1,354     ",5.5     
CN0101100000000,01,011,"Bullock County, AL",2016,"4,811     ","4,466     ",345     ,7.2     
CN0101300000000,01,013,"Butler County, AL",2016,"9,132     ","8,481     ",651     ,7.1     
CN0101500000000,01,015,"Calhoun County, AL",2016,"45,794     ","42,727     ","3,067     ",6.7     
CN0101700000000,01,017,"Chambers County, AL",2016,"15,134     ","14,295     ",839     ,5.5     
CN0101900000000,01,019,"Cherokee County, AL",2016,"11,163     ","10,581     ",582     ,5.2     
CN0102100000000,01,021,"Chilton County, AL",2016,"19,153     ","18,077     ","1,076     ",5.6     
CN0102300000000,01,023,"Choctaw County, AL",2016,"4,300     ","3,918     ",382     ,8.9     
CN0102500000000,01,025,"Clarke County, AL",2016,"8,011     ","7,118     ",893     ,11.1     
CN0102700000000,01,027,"Clay County, AL",2016,"5,558     ","5,216     ",342     ,6.2     
CN0102900000000,01,029,"Cleburne County, AL",2016,"5,831     ","5,476     ",355     ,6.1     
CN0103100000000,01,031,"Coffee County, AL",2016,"20,402     ","19,167     ","1,235     ",6.1     
CN0103300000000,01,033,"Colbert County, AL",2016,"23,707     ","22,045     ","1,662     ",7.0     
CN0103500000000,01,035,"Conecuh County, AL",2016,"4,593     ","4,197     ",396     ,8.6     
CN0103700000000,01,037,"Coosa County, AL",2016,"4,444     ","4,171     ",273     ,6.1     
CN0103900000000,01,039,"Covington County, AL",2016,"15,392     ","14,315     ","1,077     ",7.0     
CN0104100000000,01,041,"Crenshaw County, AL",2016,"6,451     ","6,063     ",388     ,6.0     
CN0104300000000,01,043,"Cullman County, AL",2016,"37,715     ","35,792     ","1,923     ",5.1     
CN0104500000000,01,045,"Dale County, AL",2016,"20,078     ","18,890     ","1,188     ",5.9     
CN0104700000000,01,047,"Dallas County, AL",2016,"15,530     ","14,071     ","1,459     ",9.4     
CN0104900000000,01,049,"DeKalb County, AL",2016,"29,016     ","27,216     ","1,800     ",6.2     
CN0105100000000,01,051,"Elmore County, AL",2016,"36,726     ","34,917     ","1,809     ",4.9     
CN0105300000000,01,053,"Escambia County, AL",2016,"14,633     ","13,648     ",985     ,6.7     
CN0105500000000,01,055,"Etowah County, AL",2016,"43,887     ","41,269     ","2,618     ",6.0     
CN0105700000000,01,057,"Fayette County, AL",2016,"6,543     ","6,087     ",456     ,7.0     
CN0105900000000,01,059,"Franklin County, AL",2016,"13,723     ","12,886     ",837     ,6.1     
CN0106100000000,01,061,"Geneva County, AL",2016,"10,905     ","10,263     ",642     ,5.9     
CN0106300000000,01,063,"Greene County, AL",2016,"2,893     ","2,600     ",293     ,10.1     
CN0106500000000,01,065,"Hale County, AL",2016,"6,050     ","5,579     ",471     ,7.8     
CN0106700000000,01,067,"Henry County, AL",2016,"6,762     ","6,316     ",446     ,6.6     
CN0106900000000,01,069,"Houston County, AL",2016,"44,718     ","42,089     ","2,629     ",5.9     
CN0107100000000,01,071,"Jackson County, AL",2016,"23,636     ","22,117     ","1,519     ",6.4     
CN0107300000000,01,073,"Jefferson County, AL",2016,"310,908     ","292,697     ","18,211     ",5.9     
CN0107500000000,01,075,"Lamar County, AL",2016,"5,708     ","5,383     ",325     ,5.7     
CN0107700000000,01,077,"Lauderdale County, AL",2016,"43,009     ","40,246     ","2,763     ",6.4     
