"storenum","OPENDATE","date_super","conversion","st","county","STREETADDR","STRCITY","STRSTATE","ZIPCODE","type_store"
574,6/29/1984 ,3/1/1996 ,1,"45","051","2751 BEAVER RUN BLVD","Surfside Beach","SC","29575","Supercenter"
575,5/22/1984 ,5/19/2004 ,1,"13","057","12182 HWY 92","Woodstock","GA","30188","Supercenter"
576,10/4/1983 ,3/1/1994 ,1,"40","143","207 S MEMORIAL DRIVE","Tulsa","OK","74112","Supercenter"
577,8/2/1984 ,7/11/2001 ,1,"20","091","13600 S. ALDEN ST.","Olathe","KS","66062","Supercenter"
578,10/18/1983 ,3/1/1995 ,1,"47","155","1414 PARKWAY","Sevierville","TN","37862","Supercenter"
579,11/29/1983 ,3/1/1997 ,1,"12","109","2355 US HWY #1SOUTH","St. Augustine","FL","32086","Supercenter"
580,11/29/1983 ,3/1/1997 ,1,"12","105","1050 VAN FLEET DRIVE","Bartow","FL","33830","Supercenter"
581,10/4/1983 ,9/4/2002 ,1,"19","127","2802 S CENTER STREET","Marshalltown","IA","50158","Supercenter"
582,11/29/1983 ,3/1/1998 ,1,"12","127","1590 DUNLAWTON AVE","Port Orange","FL","32127","Supercenter"
583,5/22/1984 ,3/1/1999 ,1,"47","151","19740 ALBERTA STREET","Oneida","TN","37841","Supercenter"
584,10/16/1984 ,3/1/1999 ,1,"21","081","20 FERGUSON BLVD.","Dry Ridge","KY","41035","Supercenter"
585,2/1/1984 ,3/1/2002 ,1,"45","091","2377 DAVE LYLE BLVD.","Rock Hill","SC","29730","Supercenter"
586,6/2/1988 ,3/1/1998 ,1,"45","051","2709-A CHURCH STREET","Conway","SC","29526","Supercenter"
587,5/22/1984 ,3/1/2004 ,1,"47","185","202 SAM WALTON DRIVE","Sparta","TN","38583","Supercenter"
588,3/6/1984 ,3/1/2004 ,1,"13","177","2825 LEDO ROAD","Albany","GA","31707","Supercenter"
589,2/1/1984 ,3/1/1999 ,1,"21","111","11901 STANDIFORD PLAZA ROAD","Louisville","KY","40229","Supercenter"
590,8/31/1984 ,4/21/2004 ,1,"48","439","6300 OAKMONT BLVD (HULEN)","Ft. Worth","TX","76132","Supercenter"
591,9/18/1984 ,,,"21","097","US 27 SOUTH","Cynthiana","KY","41031","Wal-Mart"
592,8/2/1984 ,3/1/1997 ,1,"20","173","2020 NORTH SE BLVD","Derby","KS","67037","Supercenter"
593,10/16/1984 ,3/1/1996 ,1,"13","069","1450 SOUTHEAST BOWENS MILL RD","Douglas","GA","31533","Supercenter"
594,4/17/1984 ,3/1/1996 ,1,"13","113","125 PAVILLION PARKWAY","Fayetteville","GA","30214","Supercenter"
595,10/2/1984 ,3/1/1994 ,1,"48","061","1801 WEST LINCOLN AVE","Harlingen","TX","78552","Supercenter"
596,10/16/1984 ,,,"17","199","1713 SOUTH PARK AVENUE","Herrin","IL","62948","Wal-Mart"
597,9/18/1984 ,3/1/1999 ,1,"48","201","7075 FM 1960 RD WEST","Houston","TX","77069","Supercenter"
598,10/16/1984 ,3/1/1995 ,1,"31","019","5411 N. SECOND AVENUE","Kearney","NE","68847","Supercenter"
599,8/31/1984 ,3/1/1995 ,1,"47","163","3200 FT HENRY DRIVE","Kingsport","TN","37664","Supercenter"
600,7/17/1984 ,10/27/2004 ,1,"48","179","2801 NO. CHARLES ST.","Pampa","TX","79065","Supercenter"
601,8/31/1984 ,3/1/1994 ,1,"48","451","5501 SHERWOOD WAY","San Angelo","TX","76904","Supercenter"
602,4/3/1984 ,,,"48","339","610 SAWDUST ROAD","The Woodlands","TX","77380","Wal-Mart"
603,10/8/1985 ,4/14/2004 ,1,"17","179","3320 VETERANS DRIVE","Pekin","IL","61554","Supercenter"
604,11/15/1983 ,10/16/2002 ,1,"01","069","4310 MONTGOMERY HWY","Dothan","AL","36303","Supercenter"
605,11/25/1983 ,7/21/2004 ,1,"13","051","1955 E. MONTGOMERY CROSSROADS","Savannah","GA","31406","Supercenter"
606,11/25/1983 ,,,"13","051","4725 EAST HWY 80","Savannah","GA","31410","Wal-Mart"
607,6/29/1984 ,,,"40","075","923 WEST 11 STREET (HWY 9)","Hobart","OK","73651","Wal-Mart"
608,6/29/1984 ,3/1/1994 ,1,"48","329","4517 NORTH MIDLAND DRIVE","Midland","TX","79707","Supercenter"
609,9/18/1984 ,3/20/2002 ,1,"29","127","3650 STAR DUST DRIVE","Hannibal","MO","63401","Supercenter"
610,4/3/1984 ,3/1/1994 ,1,"48","143","2765 W WASHINGTON","Stephenville","TX","76401","Supercenter"
611,4/3/1984 ,3/19/2003 ,1,"35","005","4500 ""A"" NORTH MAIN","Roswell","NM","88201","Supercenter"
612,2/4/1984 ,3/1/2002 ,1,"17","029","2250 LINCOLN AVENUE","Charleston","IL","61920","Supercenter"
613,4/3/1984 ,3/1/1996 ,1,"12","127","1521 W GRANADA BLVD","Ormond Beach","FL","32174","Supercenter"
614,5/22/1984 ,7/14/2004 ,1,"13","285","803 NEW FRANKLIN RD","La Grange","GA","30240","Supercenter"
615,11/13/1984 ,3/1/1995 ,1,"13","015","101 MARKET PLACE BLVD","Cartersville","GA","30121","Supercenter"
616,8/31/1984 ,3/1/1997 ,1,"45","075","2795 NORTH ROAD","Orangeberg","SC","29115","Supercenter"
617,11/12/1985 ,,,"18","153","757 WEST WOLF STREET","Sullivan","IN","47882","Wal-Mart"
618,8/2/1984 ,3/1/1995 ,1,"13","223","4166 JIMMY LEE SMITH PKWY","Hiram","GA","30141","Supercenter"
619,10/16/1984 ,8/20/2003 ,1,"47","143","3034 RHEA COUNTY HWY","Dayton","TN","37321","Supercenter"
620,11/13/1984 ,10/29/2003 ,1,"47","163","220 CENTURY BLVD","Bristol","TN","37620","Supercenter"
621,7/4/1981 ,,,"45","041","230 KELLEY STREET","Lake City","SC","29560","Wal-Mart"
622,11/13/1984 ,3/1/2000 ,1,"40","109","7800 N.W. EXPRESSWAY","Oklahoma City","OK","73132","Supercenter"
623,8/21/1984 ,3/1/1996 ,1,"12","071","545 PINE ISLAND RD","N. Ft. Meyers","FL","33903","Supercenter"
624,7/4/1981 ,3/1/2000 ,1,"45","071","2812 MAIN ST","Newberry","SC","29108","Supercenter"
625,7/4/1981 ,3/1/1996 ,1,"45","043","1310 NORTH FRASER","Georgetown","SC","29440","Supercenter"
626,10/2/1984 ,,,"48","165","2000 HOBBS HIGHWAY","Seminole","TX","79360","Wal-Mart"
627,7/4/1981 ,,,"45","033","536 RADFORD BLVD","Dillon","SC","29536","Wal-Mart"
628,7/4/1981 ,3/1/2000 ,1,"45","035","9880 DORCHESTER ROAD","Summerville","SC","29418","Supercenter"
629,7/4/1981 ,,,"45","087","441 N DUNCAN BYPASS/SUITE A","Union","SC","29379","Wal-Mart"
630,3/1/1982 ,,,"45","041","2530 DAVID H MCLEOD BLVD","Florence","SC","29501","Wal-Mart"
631,7/4/1981 ,,,"45","077","1023 SOUTH PENDELTON STREET","Easley","SC","29642","Wal-Mart"
632,7/13/1982 ,,,"45","019","1481 US HWY 17 NORTH","Mount Pleasant","SC","29464","Wal-Mart"
633,10/23/1984 ,3/1/1995 ,1,"17","073","730 TENNEY ST","Kewanee","IL","61443","Supercenter"
634,7/4/1981 ,3/1/1998 ,1,"45","055","2240 WEST DEKALB ST.","Camden","SC","29020","Supercenter"
635,7/4/1981 ,3/14/2001 ,1,"13","051","6000 OGEECHEE ROAD","Savannah (S)","GA","31419","Supercenter"
636,3/5/1985 ,10/16/2002 ,1,"17","011","2111 CLAUDE BAILEY PKWY","Princeton","IL","61356","Supercenter"
637,2/5/1985 ,3/17/2004 ,1,"31","047","200 FRONTIER STREET","Lexington","NE","68850","Supercenter"
638,7/4/1981 ,3/1/2000 ,1,"45","021","165 WALTON DRIVE","Gaffney","SC","29341","Supercenter"
639,7/4/1981 ,3/1/1997 ,1,"13","127","150 ALTAMA CONNECTOR","Brunswick","GA","31525","Supercenter"
640,7/4/1981 ,3/1/1998 ,1,"45","045","1451 WOODRUFF ROAD","Greenville","SC","29607","Supercenter"
641,7/4/1981 ,3/1/2000 ,1,"45","045","6134 WHITE HORSE ROAD","Greenville","SC","29611","Supercenter"
642,7/4/1981 ,,,"45","025","801 CHESTERFIELD HWY","Cheraw","SC","29520","Wal-Mart"
643,7/4/1981 ,3/1/1998 ,1,"45","051","10820 N. KINGS HWY","Myrtle Beach","SC","29572","Supercenter"
644,7/4/1981 ,3/1/1998 ,1,"45","007","651 HWY 28 BYPASS","Anderson","SC","29624","Supercenter"
645,8/2/1984 ,3/1/1996 ,1,"31","119","2400 PASEWALK AVE","Norfolk","NE","68701","Supercenter"
646,10/16/1984 ,,,"19","105","102 CHAMBER DRIVE","Anamosa","IA","52205","Wal-Mart"
647,2/5/1985 ,,,"19","157","208 WEST STREET SOUTH","Grinnell","IA","50112","Wal-Mart"
648,11/29/1984 ,,,"29","183","1661 JUNGERMAN RD","St. Peters","MO","63304","Wal-Mart"
649,8/21/1984 ,3/1/1996 ,1,"12","009","3175 CHENEY HWY","Titusville","FL","32780","Supercenter"
650,9/18/1984 ,,,"51","195","1941 NEELEY ROAD","Big Stone Gap","VA","24219","Wal-Mart"
651,6/29/1984 ,3/1/1995 ,1,"48","245","4145 NORTH DOWLEN ROAD","Beaumont","TX","77706","Supercenter"
652,10/16/1984 ,3/1/1997 ,1,"20","055","3101 EAST KANSAS AVE","Garden City","KS","67846","Supercenter"
653,7/4/1981 ,3/1/1995 ,1,"21","047","300 CLINIC DRIVE","Hopinsville","KY","42240","Supercenter"
655,4/28/1987 ,3/1/1995 ,1,"21","107","1756  EAST CENTER ST","Madisonville","KY","42431","Supercenter"
656,7/4/1981 ,5/21/2003 ,1,"47","003","1880 NORTH MAIN ST","Shelbyville","TN","37160","Supercenter"
657,7/4/1981 ,3/1/1994 ,1,"47","141","768 SOUTH JEFFERSON AVE","Cookeville","TN","38501","Supercenter"
658,7/4/1981 ,3/1/1994 ,1,"13","115","2510 REDMOND CIRCLE","Rome","GA","30165","Supercenter"
659,7/4/1981 ,3/1/1998 ,1,"47","037","7044 CHARLOTTE PIKE","Nashville","TN","37209","Supercenter"
660,7/4/1981 ,3/1/1995 ,1,"01","033","517 WEST AVALON AVE","Muscle Shoals","AL","35661","Supercenter"
661,7/4/1981 ,3/1/1996 ,1,"01","083","1011 U.S. HWY 72 EAST","Athens","AL","35611","Supercenter"
662,7/4/1981 ,3/1/2000 ,1,"01","103","2800 SPRING AVN. S.W","Decatur","AL","35603","Supercenter"
663,7/4/1981 ,6/15/2005 ,1,"47","107","1815 DECATUR PIKE","Athens","TN","37303","Supercenter"
664,10/30/1984 ,3/1/2000 ,1,"20","051","4301 VINE STREET","Hays","KS","67601","Supercenter"
665,7/4/1981 ,3/1/1996 ,1,"21","217","725 CAMPBELLSVILLE BYPASS","Campbellsville","KY","42718","Supercenter"
666,11/29/1984 ,3/1/1998 ,1,"12","055","3525 US HWY 27 NORTH","Sebring","FL","33870","Supercenter"
667,7/4/1981 ,3/1/1995 ,1,"47","031","2111 NORTH JACKSON STREET","Tullahoma","TN","37388","Supercenter"
668,7/4/1981 ,3/1/1996 ,1,"47","177","915 NO. CHANCERY ST, SUITE 100","McMinnville","TN","37110","Supercenter"
669,7/4/1981 ,3/1/1996 ,1,"13","313","2545 E WALNUT AVE","Dalton","GA","30721","Supercenter"
670,7/4/1981 ,4/17/2002 ,1,"01","043","626 OLIVE STREET SW","Cullman","AL","35055","Supercenter"
671,7/4/1981 ,3/1/1995 ,1,"47","189","615 S CUMBERLAND ST","Lebanon","TN","37087","Supercenter"
672,7/4/1981 ,3/1/1996 ,1,"47","009","1030 HUNTERS CROSSING DRIVE","Alcoa","TN","37701","Supercenter"
673,6/2/1987 ,3/1/1995 ,1,"47","125","3050 WILMA RUDOLPH BLVD","Clarksville","TN","37040","Supercenter"
674,8/12/1981 ,3/1/1997 ,1,"47","165","1112 NASHVILLE PIKE","Gallatin","TN","37066","Supercenter"
675,7/4/1981 ,3/1/1995 ,1,"47","131","1601 W REELFOOT AVE","Union City","TN","38261","Supercenter"
676,7/4/1981 ,3/14/2001 ,1,"47","145","1102 NO. GATEWAY AVE","Rockwood","TN","37854","Supercenter"
677,7/4/1981 ,3/1/1994 ,1,"47","045","2650 LAKE ROAD","Dyersburg","TN","38024","Supercenter"
678,7/4/1981 ,3/1/1995 ,1,"47","029","1075 COSBY HWY","Newport","TN","37821","Supercenter"
680,7/4/1981 ,4/13/2005 ,1,"47","059","3755 E ANDREW JOHNSON HWY","Greeneville","TN","37745","Supercenter"
681,7/4/1981 ,3/1/1996 ,1,"01","095","11697 U.S. HWY 431","Guntersville","AL","35976","Supercenter"
682,7/4/1981 ,3/1/1995 ,1,"47","149","2000 OLD FORT PARKWAY","Murfreesboro","TN","37129","Supercenter"
683,7/4/1981 ,3/1/1996 ,1,"47","099","2130 NO.LOCUST AVE","Lawrenceburg","TN","38464","Supercenter"
684,7/4/1981 ,10/16/2002 ,1,"47","077","547 WEST CHURCH ST.","Lexington","TN","38351","Supercenter"
685,7/4/1981 ,7/18/2001 ,1,"47","063","475 SO. DAVY CROCKETT PKWY","Morristown","TN","37813","Supercenter"
686,2/5/1985 ,3/17/2004 ,1,"13","017","120 BENJAMIN H HILL DR. SW","Fitzgerald","GA","31750","Supercenter"
687,7/4/1981 ,3/1/1996 ,1,"47","035","2542 NORTH MAIN STREET","Crossville","TN","38555","Supercenter"
688,7/4/1981 ,,,"47","037","5520 NOLENSVILLE PIKE","Nashville","TN","37211","Wal-Mart"
689,7/4/1981 ,3/1/2000 ,1,"21","199","177 WASHINGTON DRIVE","Somerset","KY","42503","Supercenter"
690,7/4/1981 ,1/26/2005 ,1,"47","019","1001 OVER MOUNTAIN AVENUE","Elizabethton","TN","37643","Supercenter"
691,7/4/1981 ,3/1/1996 ,1,"01","049","2001 GLENN BLDV SW","Fort Payne","AL","35968","Supercenter"
692,7/4/1981 ,3/1/1995 ,1,"21","021","100 WALTON AVE","Danville","KY","40422","Supercenter"
693,7/16/1985 ,,,"21","025","1589 KENTUCKY / HWY 15 SOUTH","Jackson","KY","41339","Wal-Mart"
694,7/4/1981 ,,,"21","101","2480 US HWY 41 NORTH","Henderson","KY","42420","Wal-Mart"
695,7/4/1981 ,,,"47","037","2232 GALLATIN PIKE NORTH","Nashville","TN","37115","Wal-Mart"
696,9/10/1985 ,,,"21","071","477 VILLAGE DRIVE","Prestonsburg","KY","41653","Wal-Mart"
697,10/16/1984 ,4/18/2001 ,1,"12","083","2600 SW 19TH AVE","Ocala","FL","34474","Supercenter"
698,7/4/1981 ,3/1/1995 ,1,"47","011","4495 KEITH ST N.W.","Cleveland","TN","37312","Supercenter"
699,7/4/1981 ,8/14/2002 ,1,"28","071","2530 WEST JACKSON AVENUE","Oxford","MS","38655","Supercenter"
700,7/4/1981 ,3/1/1995 ,1,"01","047","1501 HWY 14 EAST","Selma","AL","36703","Supercenter"
701,7/4/1981 ,3/1/1997 ,1,"21","059","5031 FREDERICA STREET","Owensboro","KY","42301","Supercenter"
702,7/4/1981 ,3/1/1997 ,1,"21","049","1859 BYPASS RD","Winchester","KY","40391","Supercenter"
703,10/16/1984 ,3/1/1999 ,1,"48","201","27650 TOMBALL PKWY","Tomball","TX","77375","Supercenter"
705,9/18/1984 ,3/1/1997 ,1,"12","069","17030 US HWY 441","Mount Dora","FL","32757","Supercenter"
706,8/31/1984 ,9/18/2002 ,1,"12","101","7631 GALL BOULEVARD","Zephyrhills","FL","33540","Supercenter"
707,7/4/1981 ,1/26/2005 ,1,"28","027","1000 SO. STATE STREET","Clarksdale","MS","38614","Supercenter"
708,5/14/1985 ,3/1/1998 ,1,"28","149","2150 IOWA BLVD","Vicksburg","MS","39180","Supercenter"
709,7/4/1981 ,3/1/1996 ,1,"21","093","100 WAL-MART DRIVE","Elizabethtown","KY","42701","Supercenter"
710,7/4/1981 ,1/28/2004 ,1,"47","037","4424 LEBANON PIKE","Hermitage","TN","37076","Supercenter"
711,7/4/1981 ,4/13/2005 ,1,"21","009","2345 HAPPY VALLEY ROAD","Glasgow","KY","42141","Supercenter"
712,7/4/1981 ,3/1/1999 ,1,"01","071","24833 JOHNT REIDPRKW","Scottsboro","AL","35768","Supercenter"
713,10/23/1984 ,,,"12","101","12650 HWY 301 SOUTH","Dade City","FL","33525","Wal-Mart"
714,7/4/1981 ,3/1/1994 ,1,"05","107","602 SHELIA STREET","West Helena5119","AR","72390","Supercenter"
715,7/4/1981 ,3/1/1994 ,1,"01","125","1501 SKYLAND BLVD E","Tuscaloosa","AL","35405","Supercenter"
716,7/4/1981 ,,,"28","083","2302 HWY 82 WEST","Greenwood","MS","38930","Wal-Mart"
718,11/13/1984 ,5/19/2004 ,1,"12","105","2120 US HWY 92 WEST","Auburndale","FL","33823","Supercenter"
719,7/4/1981 ,3/1/1996 ,1,"21","151","820 EASTERN BYPASS","Richmond","KY","40475","Supercenter"
720,7/4/1981 ,3/1/1997 ,1,"21","073","301 LEONARDWOOD DRIVE","Frankfort","KY","40601","Supercenter"
721,1/22/1985 ,3/1/1995 ,1,"12","015","19100 MURDOCK CIRCLE","Port Charlotte","FL","33948","Supercenter"
722,7/4/1981 ,1/23/2006 ,1,"13","045","1735 SOUTH PARK STREET","Carrollton","GA","30117","Supercenter"
723,7/4/1981 ,3/1/1999 ,1,"01","109","1420 US 231 SOUTH","Troy","AL","36081","Supercenter"
724,11/13/1984 ,3/1/1995 ,1,"47","089","630 EAST BROADWAY","Jefferson City","TN","37760","Supercenter"
725,10/16/1984 ,3/1/1999 ,1,"12","105","36205 US HIGHWAY 27","Haines City","FL","33844","Supercenter"
726,7/4/1981 ,3/1/1996 ,1,"01","123","2643 HWY 280 WEST","Alexander City","AL","35010","Supercenter"
727,7/4/1981 ,,,"13","233","109 DAVIS ROAD","Cedartown","GA","30125","Wal-Mart"
728,1/22/1985 ,,,"45","013","25 PEMBROKE DRIVE","Hilton Hd Island","SC","29926","Wal-Mart"
729,7/4/1981 ,10/27/2004 ,1,"21","179","3795 E. JOHN ROWAN BLVD","Bardstown","KY","40004","Supercenter"
730,7/4/1981 ,3/1/1996 ,1,"01","121","41301 U.S. HWY 280","Sylacauga","AL","35150","Supercenter"
731,7/4/1981 ,1/23/2006 ,1,"01","091","969 US HWY 80 WEST","Demopolis","AL","36732","Supercenter"
733,7/4/1981 ,3/1/1997 ,1,"01","017","3501 20TH AV","Valley","AL","36854","Supercenter"
734,7/4/1981 ,3/1/1994 ,1,"01","031","600 BOLL WEEVIL CIRCLE","Enterprise","AL","36330","Supercenter"
735,7/4/1981 ,3/1/1995 ,1,"47","051","2675 DECHERD BLVD","Winchester","TN","37398","Supercenter"
736,7/4/1981 ,1/27/2006 ,1,"21","141","120 SAM WALTON DRIVE","Russellville","KY","42276","Supercenter"
737,7/4/1981 ,5/25/2005 ,1,"47","117","1334 NO. ELLINGTON PARKWAY","Lewisburg","TN","37091","Supercenter"
738,7/4/1981 ,,,"47","005","190 HWY 641 NORTH","Camden","TN","38320","Wal-Mart"
739,7/4/1981 ,3/1/1995 ,1,"21","013","US HWY 441 HWY 25E","Middlesboro","KY","40965","Supercenter"
740,7/4/1981 ,4/9/2003 ,1,"01","045","1537 HWY 231 SOUTH","Ozark","AL","36360","Supercenter"
741,7/4/1981 ,3/1/1998 ,1,"47","105","911 HWY 321 NORTH","Lenoir City","TN","37771","Supercenter"
742,8/31/1984 ,8/22/2001 ,1,"47","163","2500 W STONE DRIVE","Kingsport","TN","37660","Supercenter"
743,8/31/1984 ,4/17/2002 ,1,"40","109","100 EAST I-240 SERVICE ROAD","Oklahoma City","OK","73149","Supercenter"
744,10/16/1984 ,10/16/2002 ,1,"48","201","6626 FM 1960 EAST","Atascocita","TX","77346","Supercenter"
745,10/2/1984 ,3/1/1996 ,1,"13","151","5600 N. HENRY BLVD.","Stockbridge","GA","30281","Supercenter"
746,5/22/1984 ,3/1/2002 ,1,"48","027","3401 S. 31ST STREET","Temple","TX","76502","Supercenter"
747,2/5/1985 ,,,"17","163","1511 CAMP JACKSON ROAD","Cahokia","IL","62206","Wal-Mart"
748,2/5/1985 ,3/1/1999 ,1,"19","099","300 EAST 31ST STREET SOUTH","Newton","IA","50208","Supercenter"
749,7/2/1985 ,,,"19","169","3015 GRAND AVE","Ames","IA","50010","Wal-Mart"
750,10/2/1984 ,1/23/2006 ,1,"19","019","302 ENTERPRISE DRIVE SW","Independence","IA","50644","Supercenter"
751,10/16/1984 ,,,"19","125","403 EAST OSKALOOSA","Pella","IA","50219","Wal-Mart"
752,3/20/1984 ,10/27/2004 ,1,"48","201","5200 FAIRMONT PKWY.","Pasadena","TX","77505","Supercenter"
753,6/5/1984 ,10/29/2003 ,1,"19","013","525 BRANDILYNN BLVD","Cedar Falls","IA","50613","Supercenter"
754,4/3/1984 ,3/1/1996 ,1,"13","031","730 NORTHSIDE DRIVE EAST","Statesboro","GA","30458","Supercenter"
755,5/1/1984 ,3/1/1994 ,1,"48","381","4610 SOUTH COULTER","Amarillo","TX","79121","Supercenter"
