x,y,z
-5.933556483,-6.659581961,-2.337235019
-5.699620807,-5.089488493,-2.206948738
-5.650399316,-4.378679438,-2.672845545
-5.526565548,-5.295157615,-1.849260083
-6.368754051,-5.650204639,-1.165898125
-6.140579977,-5.342582212,-0.778542368
-4.452856335,-2.6593851,0.170684722
-6.590815842,-5.980447144,-0.893578141
-4.900621232,-7.354333132,-1.86284755
-6.776358598,-4.940739752,-2.099077165
-3.299248823,-6.088279798,-1.921433682
-6.151185467,-3.931210874,-3.273532327
-3.920412511,-5.719610226,-1.330971338
-5.765200219,-3.824571254,-1.989789344
-5.743341433,-3.958288908,-2.527912406
-6.046696429,-3.262213875,-2.545993317
-4.551326722,-5.177693706,-4.356211086
-4.851285838,-5.215094552,-1.01613089
-4.950603329,-5.754747784,-3.176993319
-5.142530565,-4.812824737,-1.930090004
-6.151635992,-5.260676328,-2.533510807
-3.795200489,-5.913119752,-2.525239279
-3.939720906,-2.945968144,-1.53400248
-6.098026972,-5.146441822,0.172796231
-6.057979511,-4.442775017,-2.229056804
-5.60314939,-4.404538816,-0.965510351
-6.046424695,-2.814705755,-0.573559326
-5.283640654,-5.219504218,-3.46641019
-5.31684222,-4.65277168,-2.321577198
-3.707576362,-5.119400935,-2.539822425
-4.304464199,-6.944816513,-1.992982723
-5.658020631,-3.638518554,-2.703703637
-5.469346184,-3.629695696,-2.876255635
-5.539729187,-6.032320896,-1.516399566
-5.764965407,-4.653982463,-4.42835353
-5.496557764,-5.314287755,-1.944974832
-5.281293709,-3.221736375,-3.191132723
-5.394138276,-4.68985236,-2.984037185
-4.575662847,-4.82059606,-1.443835867
-4.876414383,-6.665328123,-1.619853479
-0.692603311,-3.203365998,2.369350747
0.77775568,-2.930502315,2.769025922
0.976464466,-4.403076921,4.560652278
-0.223574148,-1.763394264,3.613634463
2.312929251,-2.441374062,2.999392024
0.935763568,-1.611848326,1.657828382
1.73830554,-2.146141648,3.753269578
2.450414159,-1.057849942,3.426547531
0.866561957,-3.018831078,3.66623876
2.897334565,-2.111353825,3.322088355
2.892995179,-2.883544053,3.620197843
0.622718434,-1.137664637,2.055581813
1.234091667,-2.927659102,4.186552216
3.036598565,-1.899373505,3.741810481
2.143298808,-3.445301812,4.409862791
0.051100666,-4.377205684,3.03332339
0.846815253,-1.807644254,3.015915946
1.712004218,-3.977937083,3.247796449
2.417712026,-2.004394559,5.29907106
0.566564258,-2.603614131,4.013188741
1.633595338,0.077464368,3.926857934
1.591308795,-1.448055112,4.349738474
1.367253651,-1.951087367,2.775606123
0.392768167,-1.157814918,4.639586171
3.075062581,-2.129069548,4.306351551
1.212757701,-1.557117221,4.35760831
2.404416427,-1.372865298,5.783969525
1.573226769,-3.090812025,4.558333755
2.410314499,-2.479612793,2.480747884
0.709528993,-1.997423707,3.794639102
1.874426854,0.368203894,3.222707703
0.863663068,-2.644444308,2.484994561
3.334079761,-1.65958521,4.562827004
3.013044361,-1.782959493,3.698255233
0.554351629,-2.152608232,2.46832464
0.094579789,-2.671200546,4.932737637
2.699770012,-1.222321868,3.297668552
0.776099832,-2.723413255,2.250379546
3.042749544,-1.647018704,4.791857211
3.259419038,-1.701792056,3.574014415
-4.46256209,1.393872937,6.665308837
-2.404911822,1.270511424,7.313108665
-3.207276969,-0.108615459,4.908126901
-2.770617479,0.237129394,8.059446486
-2.867797381,-0.616072541,6.543892621
-3.378594373,1.282457591,3.972901679
-3.084490031,0.813328801,3.566700368
-3.491473624,0.091474917,3.745310332
-3.827917198,1.458351207,5.710399864
-3.24428938,0.435657176,4.479924924
-2.98709859,0.529294503,4.801578703
-3.107061954,0.159547956,4.487399649
-4.849372961,0.419158908,6.643217845
-3.743601917,-0.449284629,6.079235262
-0.511499257,1.14256644,4.565121862
-3.780286652,2.319581855,5.55947255
-3.081478096,1.09419702,5.66653557
-1.906131111,1.680289029,6.703933662
-2.195100435,0.911287201,4.048203506
-3.03376777,1.448985496,5.382829112
-3.059088174,1.447871374,6.033514094
-2.392182731,1.991386821,6.059465192
-3.116059868,1.101976769,6.37690679
-4.132695274,0.542596848,5.07976417
-3.838016817,0.383206991,4.706271284
-2.984436052,3.183045336,5.448591293
-2.418275557,1.917018745,5.711893685
-4.641404802,0.19443542,5.652637669
-2.039125962,0.957387979,3.696940748
-1.5691393,-0.22641822,4.770163123
-5.136807296,2.706298233,5.753695214
-2.590161888,0.298782931,4.844998262
-3.898071077,0.405875197,5.055171486
-3.04494618,-0.383323371,6.781520605
-1.510053312,1.70678256,7.781083156
-3.508251626,1.216784515,5.974418618
-4.413845846,2.292606475,5.587932306
-4.893555925,0.60483975,6.345619786
-1.833977721,0.392721095,4.799810425
-4.570476949,1.440556657,5.739028493
