y,x1,x2,x3,x4,x5,
0,1,1,1,1,1, 
6,0.995,0.997,0.996,0.998,0.997, 
12,0.978,0.989,0.984,0.993,0.986, 
18,0.951,0.976,0.963,0.985,0.969, 
24,0.914,0.957,0.935,0.974,0.946, 
30,0.866,0.933,0.9,0.96,0.916, 
36,0.809,0.905,0.857,0.943,0.88, 
42,0.743,0.872,0.807,0.923,0.838, 
48,0.669,0.835,0.752,0.901,0.792, 
54,0.588,0.794,0.691,0.876,0.74, 
60,0.5,0.75,0.625,0.85,0.685, 
66,0.407,0.703,0.555,0.822,0.626, 
72,0.309,0.655,0.482,0.793,0.565, 
78,0.208,0.604,0.406,0.762,0.501, 
84,0.105,0.552,0.328,0.731,0.436, 
90,0.105,0.5,0.25,0.7,0.37, 
96,0.208,0.448,0.172,0.669,0.304, 
102,0.309,0.396,0.094,0.638,0.239, 
108,0.407,0.345,0.018,0.607,0.175, 
114,0.5,0.297,0.055,0.578,0.114, 
120,0.588,0.25,0.125,0.55,0.055, 
126,0.669,0.206,0.191,0.524,0, 
132,0.743,0.165,0.252,0.499,0.052, 
138,0.809,0.128,0.307,0.477,0.098, 
144,0.866,0.095,0.357,0.457,0.14, 
150,0.914,0.067,0.4,0.44,0.176,
156,0.951,0.043,0.435,0.426,0.206, 
162,0.978,0.024,0.463,0.415,0.229, 
168,0.995,0.011,0.484,0.407,0.246, 
174,1,0.003,0.496,0.402,0.257, 
180,0.995,0,0.5,0.4,0.26, 
186,0.978,0.003,0.496,0.402,0.257, 
192,0.951,0.011,0.484,0.407,0.246, 
198,0.914,0.024,0.463,0.415,0.229, 
204,0.866,0.043,0.435,0.426,0.206, 
210,0.809,0.067,0.4,0.44,0.176, 
216,0.743,0.095,0.357,0.457,0.14, 
222,0.669,0.128,0.307,0.477,0.098,
228,0.588,0.165,0.252,0.499,0.052, 
234,0.5,0.206,0.191,0.524,0, 
240,0.407,0.25,0.125,0.55,0.055, 
246,0.309,0.297,0.055,0.578,0.114, 
252,0.208,0.345,0.018,0.607,0.175, 
258,0.105,0.396,0.094,0.638,0.239, 
264,0,0.448,0.172,0.669,0.304, 
270,0.105,0.5,0.25,0.7,0.37, 
276,0.208,0.552,0.328,0.731,0.436, 
282,0.309,0.604,0.406,0.762,0.501, 
288,0.407,0.655,0.482,0.793,0.565, 
294,0.5,0.703,0.555,0.822,0.626, 
300,0.588,0.75,0.625,0.85,0.685, 
306,0.669,0.794,0.691,0.876,0.74, 
312,0.743,0.835,0.752,0.901,0.792, 
318,0.809,0.872,0.807,0.923,0.838, 
324,0.866,0.905,0.857,0.943,0.88, 
330,0.914,0.933,0.9,0.96,0.916, 
336,0.951,0.957,0.935,0.974,0.946, 
342,0.978,0.976,0.963,0.985,0.969, 
348,0.995,0.989,0.984,0.993,0.986, 
354,1,0.997,0.996,0.998,0.997, 
360,1,1,1,1,1,
