"Col1","person","dept","eow","cause","cause_short","date","year","canine","dept_name","state","description","latitude","longitude","state_name"
"0","K9 Roscoe","Phoenix Police Department, AZ","EOW: Friday, July 13, 1984","Cause of Death: Struck by vehicle","Struck by vehicle","1984-07-13","1984","True","Phoenix Police Department","AZ","Phoenix","33.448143","-112.096962","Arizona"
"1","Police Officer Roy L. Leon, Jr.","Cotton Plant Police Department, AR","EOW: Friday, July 13, 1984","Cause of Death: Gunfire","Gunfire","1984-07-13","1984","False","Cotton Plant Police Department","AR","Little Rock","34.746613","-92.288986","Arkansas"
"2","Officer Stanley D. Pounds","Portland Police Bureau, OR","EOW: Wednesday, July 18, 1984","Cause of Death: Automobile accident","Automobile accident","1984-07-18","1984","False","Portland Police Bureau","OR","Salem","44.938461","-123.030403","Oregon"
"3","Enforcement Agent Ernest Joseph Gray, Jr.","Pennsylvania Public Utility Commission, PA","EOW: Friday, July 20, 1984","Cause of Death: Automobile accident","Automobile accident","1984-07-20","1984","False","Pennsylvania Public Utility Commission","PA","Harrisburg","40.264378","-76.883598","Pennsylvania"
"4","Police Officer James W. Carozza, Jr.","Greenburgh Police Department, NY","EOW: Friday, July 20, 1984","Cause of Death: Vehicle pursuit","Vehicle pursuit","1984-07-20","1984","False","Greenburgh Police Department","NY","Albany","42.652843","-73.757874","New York"
"5","Patrolman Cleo J. Sheely","Newton Falls Police Department, OH","EOW: Saturday, July 21, 1984","Cause of Death: Heart attack","Heart attack","1984-07-21","1984","False","Newton Falls Police Department","OH","Columbus","39.961346","-82.999069","Ohio"
"6","Deputy Sheriff Thomas E. Bryant","Wood County Sheriff's Office, OH","EOW: Monday, July 23, 1984","Cause of Death: Automobile accident","Automobile accident","1984-07-23","1984","False","Wood County Sheriff's Office","OH","Columbus","39.961346","-82.999069","Ohio"
"7","Reserve Officer James Charles Taylor","Dallas Police Department, TX","EOW: Tuesday, July 24, 1984","Cause of Death: Aircraft accident","Aircraft accident","1984-07-24","1984","False","Dallas Police Department","TX","Austin","30.27467","-97.740349","Texas"
"8","Lieutenant Robert L. Cormier","Dallas Police Department, TX","EOW: Tuesday, July 24, 1984","Cause of Death: Aircraft accident","Aircraft accident","1984-07-24","1984","False","Dallas Police Department","TX","Austin","30.27467","-97.740349","Texas"
"9","Sergeant Ruben Almanza","Corpus Christi Police Department, TX","EOW: Friday, July 27, 1984","Cause of Death: Gunfire","Gunfire","1984-07-27","1984","False","Corpus Christi Police Department","TX","Austin","30.27467","-97.740349","Texas"
"10","Sergeant David W. Campbell","Andalusia Police Department, AL","EOW: Friday, July 27, 1984","Cause of Death: Automobile accident","Automobile accident","1984-07-27","1984","False","Andalusia Police Department","AL","Montgomery","32.377716","-86.300568","Alabama"
"11","Sergeant Arthur W. Koch","Fairfield Police Department, CA","EOW: Sunday, July 29, 1984","Cause of Death: Gunfire","Gunfire","1984-07-29","1984","False","Fairfield Police Department","CA","Sacramento","38.576668","-121.493629","California"
"12","Detective Sergeant Donald E. Davey","Lincoln County Sheriff's Department, ME","EOW: Monday, July 30, 1984","Cause of Death: Automobile accident","Automobile accident","1984-07-30","1984","False","Lincoln County Sheriff's Department","ME","Augusta","44.307167","-69.781693","Maine"
"13","Deputy Sheriff James L. Reynolds","Wyandotte County Sheriff's Office, KS","EOW: Saturday, August 4, 1984","Cause of Death: Vehicle pursuit","Vehicle pursuit","1984-08-04","1984","False","Wyandotte County Sheriff's Office","KS","Topeka","39.048191","-95.677956","Kansas"
"14","Patrolman David M. Smith","New Mexico State Police, NM","EOW: Monday, August 6, 1984","Cause of Death: Aircraft accident","Aircraft accident","1984-08-06","1984","False","New Mexico State Police","NM","Santa Fe","35.68224","-105.939728","New Mexico"
"15","Patrolman Lowell D. Howard","New Mexico State Police, NM","EOW: Monday, August 6, 1984","Cause of Death: Aircraft accident","Aircraft accident","1984-08-06","1984","False","New Mexico State Police","NM","Santa Fe","35.68224","-105.939728","New Mexico"
"16","Patrolman Anthony J. Garaffa","Irvington Police Department, NJ","EOW: Thursday, August 9, 1984","Cause of Death: Gunfire","Gunfire","1984-08-09","1984","False","Irvington Police Department","NJ","Trenton","40.220596","-74.769913","New Jersey"
"17","Trooper Johnny Rush Bowman","Virginia State Police, VA","EOW: Sunday, August 19, 1984","Cause of Death: Stabbed","Stabbed","1984-08-19","1984","False","Virginia State Police","VA","Richmond","37.538857","-77.43364","Virginia"
"18","Police Officer Ronald J. Siver","Rochester Police Department, NY","EOW: Sunday, August 19, 1984","Cause of Death: Drowned","Drowned","1984-08-19","1984","False","Rochester Police Department","NY","Albany","42.652843","-73.757874","New York"
"19","Lieutenant Jerry E. Dragosin","Cambridge Police Department, OH","EOW: Tuesday, August 21, 1984","Cause of Death: Gunfire","Gunfire","1984-08-21","1984","False","Cambridge Police Department","OH","Columbus","39.961346","-82.999069","Ohio"
"20","K9 Sonny","Ventura Police Department, CA","EOW: Sunday, August 26, 1984","Cause of Death: Gunfire","Gunfire","1984-08-26","1984","True","Ventura Police Department","CA","Sacramento","38.576668","-121.493629","California"
"21","Police Officer Martin P. Clarke","Chicago Police Department, IL","EOW: Sunday, August 26, 1984","Cause of Death: Automobile accident","Automobile accident","1984-08-26","1984","False","Chicago Police Department","IL","Springfield","39.798363","-89.654961","Illinois"
"22","Reserve Captain Lloyd Beauford Brooks","Los Angeles County Sheriff's Department, CA","EOW: Saturday, September 1, 1984","Cause of Death: Struck by vehicle","Struck by vehicle","1984-09-01","1984","False","Los Angeles County Sheriff's Department","CA","Sacramento","38.576668","-121.493629","California"
"23","Public Safety Officer Bruce A. Richard","Alamogordo Department of Public Safety, NM","EOW: Sunday, September 2, 1984","Cause of Death: Struck by vehicle","Struck by vehicle","1984-09-02","1984","False","Alamogordo Department of Public Safety","NM","Santa Fe","35.68224","-105.939728","New Mexico"
"24","Patrolman Mark O. Harris","Oklahoma Lake Patrol, OK","EOW: Sunday, September 2, 1984","Cause of Death: Vehicular assault","Vehicular assault","1984-09-02","1984","False","Oklahoma Lake Patrol","OK","Oklahoma City","35.492207","-97.503342","Oklahoma"
"25","Deputy Sheriff Lonnie Lewis Freeman","Richmond Sheriff's Office, VA","EOW: Sunday, September 2, 1984","Cause of Death: Assault","Assault","1984-09-02","1984","False","Richmond Sheriff's Office","VA","Richmond","37.538857","-77.43364","Virginia"
"26","Deputy Sheriff David Lance Holguin","Los Angeles County Sheriff's Department, CA","EOW: Wednesday, September 5, 1984","Cause of Death: Gunfire","Gunfire","1984-09-05","1984","False","Los Angeles County Sheriff's Department","CA","Sacramento","38.576668","-121.493629","California"
