Country,Month,Year,Lat,Lon,Value
Guinea,3,14,9.95,-9.7,122
Guinea,4,14,9.95,-9.7,224
Guinea,5,14,9.95,-9.7,291
Guinea,6,14,9.95,-9.7,413
Guinea,7,14,9.95,-9.7,460
Guinea,8,14,9.95,-9.7,771
Guinea,9,14,9.95,-9.7,1022
Guinea,10,14,9.95,-9.7,
Guinea,11,14,9.95,-9.7,
Guinea,12,14,9.95,-9.7,
Liberia,4,14,6.43,-9.43,35
Liberia,5,14,6.43,-9.43,13
Liberia,6,14,6.43,-9.43,107
Liberia,7,14,6.43,-9.43,329
Liberia,8,14,6.43,-9.43,1395
Liberia,9,14,6.43,-9.43,3362
Liberia,10,14,6.43,-9.43,
Liberia,11,14,6.43,-9.43,
Liberia,12,14,6.43,-9.43,
Mali,10,14,17.57,-4,1
Mali,11,14,17.57,-4,8
Senegal,8,14,14.5,-14.45,1
Senegal,9,14,14.5,-14.45,3
Sierra Leone,5,14,8.46,-11.78,50
Sierra Leone,6,14,8.46,-11.78,239
Sierra Leone,7,14,8.46,-11.78,533
Sierra Leone,8,14,8.46,-11.78,1216
Sierra Leone,9,14,8.46,-11.78,1940
Sierra Leone,10,14,8.46,-11.78,
Sierra Leone,11,14,8.46,-11.78,
Sierra Leone,12,14,8.46,-11.78,
