"","country","abbreviation","region","euro_year","euro_turnout","year","nat_turnout","population","pres_more"
"1","Austria","AT","Western",2019,59.8,2017,80,8754413,FALSE
"2","Belgium","BE","Western",2019,88.47,2019,88.38,11647253,FALSE
"3","Bulgaria","BU","Central/Eastern",2019,32.64,2016,56.28,7144653,TRUE
"4","Croatia","HR","Central/Eastern",2019,29.86,2015,59.05,4470534,TRUE
"5","Cyprus","CY","Mediterranean",2019,44.99,2018,73.97,1237088,TRUE
"6","Czechia","CZ","Central/Eastern",2019,28.72,2018,61.88,10686269,TRUE
"7","Denmark","DK","Northern",2019,66,2019,84.6,5841522,FALSE
"8","Estonia","EE","Central/Eastern",2019,37.6,2019,63.67,1236641,FALSE
"9","Finland","FI","Northern",2019,40.7,2019,68.73,5555154,FALSE
"10","France","FR","Western",2019,50.12,2017,74.56,67106161,TRUE
"11","Germany","DE","Western",2019,61.38,2017,76.15,80594017,FALSE
"12","Greece","GR","Mediterranean",2019,58.69,2019,57.92,10752626,FALSE
"13","Hungary","HU","Central/Eastern",2019,43.36,2018,69.67,9825704,FALSE
"14","Ireland","IE","British",2019,49.7,2016,65.09,4952473,FALSE
"15","Italy","IT","Mediterranean",2019,54.5,2018,72.93,62246674,FALSE
"16","Latvia","LV","Central/Eastern",2019,33.53,2018,54.58,1923559,FALSE
"17","Lithuania","LT","Central/Eastern",2019,53.48,2019,57.37,2762485,TRUE
"18","Luxembourg","LU","Western",2019,84.24,2018,89.66,605764,FALSE
"19","Malta","MT","Mediterranean",2019,72.7,2017,92.06,416338,FALSE
"20","Netherlands","NL","Western",2019,41.93,2017,81.93,17084719,FALSE
"21","Poland","PO","Central/Eastern",2019,45.68,2015,55.34,38301885,TRUE
"22","Portugal","PT","Mediterranean",2019,30.75,2015,55.84,10825309,FALSE
"23","Romania","RO","Central/Eastern",2019,51.07,2014,64.11,21729871,TRUE
"24","Slovakia","SK","Central/Eastern",2019,22.74,2016,59.82,5445802,FALSE
"25","Slovenia","SI","Central/Eastern",2019,28.89,2018,52.64,1965706,FALSE
"26","Spain","ES","Mediterranean",2019,60.73,2019,71.76,49683254,FALSE
"27","Sweden","SV","Northern",2019,55.27,2018,87.18,10040995,FALSE
"28","United Kingdom","UK","British",2019,36.9,2017,68.93,64769452,FALSE
