Indicator,Unit,Subgroup,Time Period,Data Value
Deaths averted due to ART,Number,estimate,2010,762485
Deaths averted due to ART,Number,estimate,2011,840903
Deaths averted due to ART,Number,estimate,2012,973645
Deaths averted due to ART,Number,estimate,2013,1090040
Deaths averted due to ART,Number,estimate,2014,1162780
Deaths averted due to ART,Number,estimate,2015,1205580
Deaths averted due to ART,Number,lower estimate,2010,661112
Deaths averted due to ART,Number,lower estimate,2011,725670
Deaths averted due to ART,Number,lower estimate,2012,843263
Deaths averted due to ART,Number,lower estimate,2013,932579
Deaths averted due to ART,Number,lower estimate,2014,988112
Deaths averted due to ART,Number,lower estimate,2015,1018888
Deaths averted due to ART,Number,upper estimate,2010,869930
Deaths averted due to ART,Number,upper estimate,2011,964206
Deaths averted due to ART,Number,upper estimate,2012,1123827
Deaths averted due to ART,Number,upper estimate,2013,1269304
Deaths averted due to ART,Number,upper estimate,2014,1366189
Deaths averted due to ART,Number,upper estimate,2015,1431053
Coverage of people receiving ART,Percent,All sexes Adults (15+) estimate,2010,22.653
Coverage of people receiving ART,Percent,All sexes Adults (15+) estimate,2011,27.0113
Coverage of people receiving ART,Percent,All sexes Adults (15+) estimate,2012,31.7265
Coverage of people receiving ART,Percent,All sexes Adults (15+) estimate,2013,36.7298
Coverage of people receiving ART,Percent,All sexes Adults (15+) estimate,2014,41.6042
Coverage of people receiving ART,Percent,All sexes Adults (15+) estimate,2015,46.2536
Coverage of people receiving ART,Percent,All sexes Adults (15+) lower estimate,2010,20.959
Coverage of people receiving ART,Percent,All sexes Adults (15+) lower estimate,2011,24.9815
Coverage of people receiving ART,Percent,All sexes Adults (15+) lower estimate,2012,29.3567
Coverage of people receiving ART,Percent,All sexes Adults (15+) lower estimate,2013,33.9897
Coverage of people receiving ART,Percent,All sexes Adults (15+) lower estimate,2014,38.533
Coverage of people receiving ART,Percent,All sexes Adults (15+) lower estimate,2015,42.8847
Coverage of people receiving ART,Percent,All sexes Adults (15+) upper estimate,2010,24.5906
Coverage of people receiving ART,Percent,All sexes Adults (15+) upper estimate,2011,29.2789
Coverage of people receiving ART,Percent,All sexes Adults (15+) upper estimate,2012,34.4
Coverage of people receiving ART,Percent,All sexes Adults (15+) upper estimate,2013,39.8242
Coverage of people receiving ART,Percent,All sexes Adults (15+) upper estimate,2014,45.0949
Coverage of people receiving ART,Percent,All sexes Adults (15+) upper estimate,2015,50.1402
Coverage of people receiving ART,Percent,Children (0-14) estimate,2010,20.6375
Coverage of people receiving ART,Percent,Children (0-14) estimate,2011,26.0813
Coverage of people receiving ART,Percent,Children (0-14) estimate,2012,31.1842
Coverage of people receiving ART,Percent,Children (0-14) estimate,2013,37.4184
Coverage of people receiving ART,Percent,Children (0-14) estimate,2014,43.0738
Coverage of people receiving ART,Percent,Children (0-14) estimate,2015,48.6633
Coverage of people receiving ART,Percent,Children (0-14) lower estimate,2010,18.1214
Coverage of people receiving ART,Percent,Children (0-14) lower estimate,2011,22.7657
Coverage of people receiving ART,Percent,Children (0-14) lower estimate,2012,27.0956
Coverage of people receiving ART,Percent,Children (0-14) lower estimate,2013,32.3471
Coverage of people receiving ART,Percent,Children (0-14) lower estimate,2014,37.0617
Coverage of people receiving ART,Percent,Children (0-14) lower estimate,2015,41.504
