date_range,current_date,description,compatibility,mood,color,lucky_number,lucky_time,sign
Mar 21 - Apr 20,"June 29, 2022","Money matters will be far more important now to you than to anyone else, even if you're trying to work out a partnership. Does this mean you should let someone else take charge? No way. Be even more diligent.",Scorpio,Leading,Copper,60,9pm,aries
Jul 23 - Aug 22,"June 29, 2022","You may start out that long-distance chat with the intention of catching up. But after you're done with all the good memories, make a graceful exit before the conversation takes an uncomfortable turn. Easy, now.",Scorpio,Smart,Brown,36,2pm,leo
Nov 23 - Dec 21,"June 29, 2022","The stars are feeling sexy. Get ready for a long, lingering afternoon and evening. If you're attached, have lunch and dinner delivered. If you're not, put on your cutest outfit and get out there.",Cancer,Charming,Blue,30,10am,sagittarius
Apr 21 - May 20,"June 29, 2022","Anyone with an opinion different from yours will automatically be seen by you as the opponent -- and in some instances, you may be right. Just don't assume that everyone is automatically on the other side.",Aquarius,Cautious,Peach,22,8am,taurus
Aug 23 - Sep 22,"June 29, 2022","If tonight doesn't find you in the arms of someone delicious, it won't be for lack of trying on your part. This is the perfect astrological recipe for candlelight, romance and holding hands. Don't worry about the time.",Aries,Sweet,Red,1,6pm,virgo
Dec 22 - Jan 19,"June 29, 2022","You may not mean for it to happen, but your words could hurt someone, even if you're trying to be restrained. Better take a mediator along. Just in case.",Cancer,Cautious,Spring Green,13,11am,capricorn
May 21 - Jun 21,"June 29, 2022","A coworker who's asked you for help may be involved with something that could end up being a serious problem. If your antennae start to twitch, back out. Immediately.",Capricorn,Cautious,Copper,78,2pm,gemini
Sep 23 - Oct 22,"June 29, 2022","Family matters are draining and work hasn't exactly been a piece of cake, either. Still, you're proud of what you've accomplished. You wouldn't trade one minute for a day in the Bahamas.",Aries,Relaxed,Red,37,2am,libra
Jan 20 - Feb 18,"June 29, 2022","A group you've been privately associating with will soon ask you to take the show on the road -- in short, for help of a far more public nature. If you're ready, fine. If not, don't you dare feel guilty about saying no.",Aries,Honest,Brown,58,5pm,aquarius
Jun 22 - Jul 22,"June 29, 2022","You've always been famous for your intensity, which is what draws everyone to you. Don't let anyone talk you into restraining yourself. This is who you really are. Strut your stuff!",Aquarius,Confidence,Silver,98,8am,cancer
Oct 23 - Nov 22,"June 29, 2022","Your sense of humor is world-famous -- as is your bluntness. If there's any way you can keep both qualities reined in just for the moment, please do. A dear one may be feeling especially vulnerable.",Virgo,Thoughtful,Orange,45,6pm,scorpio
Feb 19 - Mar 20,"June 29, 2022","You've been dealing with secrecy for far too long, especially since you're famous for being lighthearted and open-minded. Stop. Stop now. You don't owe anyone anything. Be true to yourself.",Capricorn,Truthful,Pink,52,5pm,pisces
Mar 21 - Apr 20,"June 30, 2022","You know how intuitive and sensitive you are? Well, it'll be in full effect and then some today. It will be a very interesting day -- and a long-distance love could well be the reason.",Gemini,Loved,Rose Pink,57,5am,aries
Jul 23 - Aug 22,"June 30, 2022",The cosmic lineup brings you a rush of sensual energy -- your favorite. You know what that means for tonight -- you won't be asleep early unless you want to be (and you won't).,Taurus,Energetic,Spring Green,33,5pm,leo
Nov 23 - Dec 21,"June 30, 2022","Much as you'll want to share an intimate secret, you really shouldn't, not just yet. Smile smugly and sashay away from anyone who asks too many questions. You'll have a chance to elaborate soon.",Cancer,Pleased,Orange,86,1am,sagittarius
Apr 21 - May 20,"June 30, 2022","Someone you've never thought of as anything more than a friend has been sending you some distinctly romantic signals. If you're intrigued, go for it -- but first, be sure you aren't ruining a friendship just for the sake of curiosity.",Scorpio,Serious,Pink,73,6am,taurus
Aug 23 - Sep 22,"June 30, 2022","Just as you're having dinner, a certain someone may cross your mind for entirely romantic reasons. Oh, go ahead and call them. Take a chance. Bet they're thinking of you, too.",Pisces,Charming,Red,76,5pm,virgo
Dec 22 - Jan 19,"June 30, 2022","Charming? Well, let's just say that every word you utter will sound like an irresistible invitation to get to know you better. Much better. If you're single, get out there. If you're not? Don't go anywhere at all.",Pisces,Attractive,Red,80,1pm,capricorn
May 21 - Jun 21,"June 30, 2022","Family matters are going along so swimmingly that you're beginning to wonder if you're dreaming. You're not. Take advantage of this gift from the universe. Get them all together, and let the bonding begin.",Pisces,Happy,Blue,24,2am,gemini
Sep 23 - Oct 22,"June 30, 2022","Money, love and power -- all the fun things, that is -- will definitely go your way now with little or no effort. It's going to be tough to be humble, but give it a shot. You can afford it.",Capricorn,Humble,Peach,83,12am,libra
Jan 20 - Feb 18,"June 30, 2022","Finding time for the companions you love won't be easy now. You've got chores to do, and you really need to get them done right. Go after your goals, but save the evening hours -- and some energy -- for socializing.",Taurus,Busy,Sky Blue,75,9pm,aquarius
