"","cd_code","cluster","region","dem_perc","gop_perc","dem_margin","clinton_margin","swing"
"1","AL-01","Rural-suburban mix","South",36.8,63.2,-26.4,-29.2,2.8
"2","AL-02","Pure rural","South",38.4,61.4,-23,-31.7,8.7
"3","AL-03","Pure rural","South",36.2,63.7,-27.5,-33,5.5
"4","AL-04","Pure rural","South",20.1,79.8,-59.6,-62.5,2.9
"5","AL-05","Rural-suburban mix","South",38.9,61,-22.1,-32.9,10.8
"6","AL-06","Rural-suburban mix","South",30.8,69.2,-38.4,-43.8,5.4
"7","AL-07","Rural-suburban mix","South",97.8,0,97.8,41.2,NA
"8","AK-AL","Pure rural","West",46.5,53.1,-6.6,-14.7,8.1
"9","AZ-01","Pure rural","West",53.8,46.1,7.7,-1.1,8.8
"10","AZ-02","Dense suburban","West",54.7,45.2,9.5,4.8,4.7
"11","AZ-03","Dense suburban","West",63.9,36.1,27.7,29.5,-1.8
"12","AZ-04","Rural-suburban mix","West",30.5,68.2,-37.7,-39.4,1.7
"13","AZ-05","Dense suburban","West",40.6,59.4,-18.8,-20.5,1.7
"14","AZ-06","Dense suburban","West",44.8,55.2,-10.4,-9.8,-0.6
"15","AZ-07","Urban-suburban mix","West",85.6,0.2,85.4,48.3,NA
"16","AZ-08","Dense suburban","West",44.5,55.5,-10.9,-20.8,9.9
"17","AZ-09","Urban-suburban mix","West",61.1,38.9,22.2,15.9,6.3
"18","AR-01","Pure rural","South",28.8,68.9,-40.2,-34.8,-5.4
"19","AR-02","Rural-suburban mix","South",45.8,52.1,-6.3,-10.7,4.4
"20","AR-03","Rural-suburban mix","South",32.6,64.7,-32.1,-31.4,-0.7
"21","AR-04","Pure rural","South",31.2,66.7,-35.5,-32.8,-2.7
"22","CA-01","Rural-suburban mix","West",45.1,54.9,-9.8,-19.4,9.6
"23","CA-02","Rural-suburban mix","West",77,23,54,45.2,8.8
"24","CA-03","Rural-suburban mix","West",58.1,41.9,16.1,12.5,3.6
"25","CA-04","Rural-suburban mix","West",45.9,54.1,-8.3,-14.5,6.2
"26","CA-05","Dense suburban","West",78.9,0,78.9,44.6,NA
"27","CA-06","Urban-suburban mix","West",100,0,100,44,NA
"28","CA-07","Dense suburban","West",55,45,10.1,11.2,-1.1
"29","CA-08","Rural-suburban mix","West",0,100,-100,-15.1,NA
"30","CA-09","Dense suburban","West",56.5,43.5,13,18.2,-5.2
"31","CA-10","Dense suburban","West",52.3,47.7,4.5,3,1.5
"32","CA-11","Urban-suburban mix","West",74.1,25.9,48.3,47.6,0.7
"33","CA-12","Pure urban","West",86.8,13.2,73.6,76.6,-3
"34","CA-13","Pure urban","West",88.4,0,88.4,79.3,NA
"35","CA-14","Urban-suburban mix","West",79.2,20.8,58.4,58.6,-0.2
"36","CA-15","Urban-suburban mix","West",73,27,45.9,44.9,1
"37","CA-16","Dense suburban","West",57.5,42.5,15.1,21.3,-6.2
"38","CA-17","Pure urban","West",75.3,24.7,50.7,53.2,-2.5
"39","CA-18","Urban-suburban mix","West",74.5,25.5,49,53.2,-4.2
"40","CA-19","Urban-suburban mix","West",73.8,26.2,47.5,51.4,-3.9
"41","CA-20","Urban-suburban mix","West",81.4,0,81.4,46.8,NA
"42","CA-21","Rural-suburban mix","West",50.4,49.6,0.8,15.4,-14.6
"43","CA-22","Dense suburban","West",47.3,52.7,-5.4,-9.3,3.9
"44","CA-23","Dense suburban","West",36.3,63.7,-27.4,-21.9,-5.5
"45","CA-24","Sparse suburban","West",58.6,41.4,17.1,19.9,-2.8
"46","CA-25","Dense suburban","West",54.4,45.6,8.7,6.6,2.1
"47","CA-26","Dense suburban","West",61.9,38.1,23.9,21.4,2.5
"48","CA-27","Urban-suburban mix","West",100,0,100,37.6,NA
"49","CA-28","Pure urban","West",78.4,21.6,56.7,49.8,6.9
"50","CA-29","Pure urban","West",80.6,19.4,61.2,60.9,0.3
"51","CA-30","Urban-suburban mix","West",73.4,26.6,46.8,43.4,3.4
"52","CA-31","Dense suburban","West",58.7,41.3,17.5,21.1,-3.6
"53","CA-32","Urban-suburban mix","West",68.8,31.2,37.6,38.9,-1.3
"54","CA-33","Urban-suburban mix","West",70,30,40.1,41.3,-1.2
"55","CA-34","Pure urban","West",72.5,0,72.5,72.8,NA
"56","CA-35","Urban-suburban mix","West",69.4,30.6,38.8,40.8,-2
"57","CA-36","Dense suburban","West",59,41,18,8.7,9.3
"58","CA-37","Pure urban","West",89.1,10.9,78.2,76.1,2.1
"59","CA-38","Pure urban","West",68.9,31.1,37.7,39.5,-1.8
"60","CA-39","Dense suburban","West",51.6,48.4,3.1,8.5,-5.4
"61","CA-40","Pure urban","West",77.3,0,77.3,69.5,NA
"62","CA-41","Dense suburban","West",65.1,34.9,30.2,27.9,2.3
"63","CA-42","Sparse suburban","West",43.5,56.5,-13,-12,-1
"64","CA-43","Pure urban","West",77.7,22.3,55.3,61.7,-6.4
"65","CA-44","Pure urban","West",100,0,100,70.8,NA
"66","CA-45","Urban-suburban mix","West",52.1,47.9,4.1,5.4,-1.3
"67","CA-46","Pure urban","West",69.1,30.9,38.3,38,0.3
"68","CA-47","Pure urban","West",64.9,35.1,29.7,31.5,-1.8
"69","CA-48","Urban-suburban mix","West",53.6,46.4,7.1,1.7,5.4
"70","CA-49","Dense suburban","West",56.4,43.6,12.8,7.5,5.3
"71","CA-50","Dense suburban","West",48.3,51.7,-3.4,-15,11.6
"72","CA-51","Urban-suburban mix","West",71.2,28.8,42.4,49,-6.6
"73","CA-52","Urban-suburban mix","West",63.8,36.2,27.7,22.6,5.1
"74","CA-53","Urban-suburban mix","West",69.1,30.9,38.1,34.9,3.2
"75","CO-01","Urban-suburban mix","West",73.8,23,50.8,45.8,5
"76","CO-02","Sparse suburban","West",60.3,33.6,26.6,21.3,5.3
"77","CO-03","Pure rural","West",43.6,51.5,-8,-11.9,3.9
"78","CO-04","Rural-suburban mix","West",39.4,60.6,-21.2,-23.2,2
"79","CO-05","Dense suburban","West",39.3,57,-17.7,-23.9,6.2
"80","CO-06","Dense suburban","West",54.1,42.9,11.2,8.9,2.3
