,direction,strength,frequency
0,N,0-1,0.5
1,NNE,0-1,0.6
2,NE,0-1,0.5
3,ENE,0-1,0.4
4,E,0-1,0.4
5,ESE,0-1,0.3
6,SE,0-1,0.4
7,SSE,0-1,0.4
8,S,0-1,0.6
9,SSW,0-1,0.4
10,SW,0-1,0.5
11,WSW,0-1,0.6
12,W,0-1,0.6
13,WNW,0-1,0.5
14,NW,0-1,0.4
15,NNW,0-1,0.1
16,N,1-2,1.6
17,NNE,1-2,1.8
18,NE,1-2,1.5
19,ENE,1-2,1.6
20,E,1-2,1.6
21,ESE,1-2,1.2
22,SE,1-2,1.5
23,SSE,1-2,1.7
24,S,1-2,2.2
25,SSW,1-2,2.0
26,SW,1-2,2.3
27,WSW,1-2,2.4
28,W,1-2,2.3
29,WNW,1-2,2.6
30,NW,1-2,2.3
31,NNW,1-2,0.8
32,N,2-3,0.9
33,NNE,2-3,1.3
34,NE,2-3,1.6
35,ENE,2-3,0.9
36,E,2-3,1.0
37,ESE,2-3,0.6
38,SE,2-3,0.6
39,SSE,2-3,0.9
40,S,2-3,1.4
41,SSW,2-3,1.7
42,SW,2-3,1.9
43,WSW,2-3,2.2
44,W,2-3,1.8
45,WNW,2-3,1.7
46,NW,2-3,1.8
47,NNW,2-3,0.8
48,N,3-4,0.9
49,NNE,3-4,0.8
50,NE,3-4,1.2
51,ENE,3-4,1.0
52,E,3-4,0.8
53,ESE,3-4,0.4
54,SE,3-4,0.5
55,SSE,3-4,0.5
56,S,3-4,0.8
57,SSW,3-4,0.9
58,SW,3-4,1.3
59,WSW,3-4,1.1
60,W,3-4,1.2
61,WNW,3-4,1.2
62,NW,3-4,1.3
63,NNW,3-4,1.0
64,N,4-4,0.4
65,NNE,4-4,0.5
66,NE,4-4,1.2
67,ENE,4-4,0.5
68,E,4-4,0.4
69,ESE,4-4,0.2
70,SE,4-4,0.4
71,SSE,4-4,0.4
72,S,4-4,0.7
73,SSW,4-4,0.6
74,SW,4-4,0.7
75,WSW,4-4,0.8
76,W,4-4,0.9
77,WNW,4-4,1.0
78,NW,4-4,1.0
79,NNW,4-4,0.7
80,N,4-5,0.3
81,NNE,4-5,0.3
82,NE,4-5,0.6
83,ENE,4-5,0.2
84,E,4-5,0.1
85,ESE,4-5,0.1
86,SE,4-5,0.05
87,SSE,4-5,0.1
88,S,4-5,0.1
89,SSW,4-5,0.2
90,SW,4-5,0.3
91,WSW,4-5,0.4
92,W,4-5,0.9
93,WNW,4-5,0.9
94,NW,4-5,0.9
95,NNW,4-5,0.3
96,N,5-6,0.2
97,NNE,5-6,0.1
98,NE,5-6,0.1
99,ENE,5-6,0.1
100,E,5-6,0.1
101,ESE,5-6,0.1
102,SE,5-6,0.05
103,SSE,5-6,0.05
104,S,5-6,0.1
105,SSW,5-6,0.05
106,SW,5-6,0.2
107,WSW,5-6,0.2
108,W,5-6,0.4
109,WNW,5-6,0.7
110,NW,5-6,0.7
111,NNW,5-6,0.4
112,N,6+,0.1
113,NNE,6+,0.1
114,NE,6+,0.1
115,ENE,6+,0.1
116,E,6+,0.1
117,ESE,6+,0.05
118,SE,6+,0.05
119,SSE,6+,0.05
120,S,6+,0.05
121,SSW,6+,0.1
122,SW,6+,0.1
123,WSW,6+,0.1
124,W,6+,0.9
125,WNW,6+,2.2
126,NW,6+,1.5
127,NNW,6+,0.2
