Year,Country,Continent,Emission
2008,Aruba,South America,24.75013321
2009,Aruba,South America,24.87670585
2010,Aruba,South America,24.18270225
2011,Aruba,South America,23.9224121
2008,Andorra,Europe,6.296124556
2009,Andorra,Europe,6.049172848
2010,Andorra,Europe,6.12477049
2011,Andorra,Europe,5.96868547
2008,Afghanistan,Asia,0.158961558
2009,Afghanistan,Asia,0.24907353
2010,Afghanistan,Asia,0.302936388
2011,Afghanistan,Asia,0.425262105
2008,Angola,Africa,1.369424769
2009,Angola,Africa,1.430873373
2010,Angola,Africa,1.401654169
2011,Angola,Africa,1.35400753
2008,Albania,Europe,1.580113283
2009,Albania,Europe,1.533178094
2010,Albania,Europe,1.515632053
2011,Albania,Europe,1.60703771
2008,United Arab Emirates,Asia,23.03360047
2009,United Arab Emirates,Asia,21.10229562
2010,United Arab Emirates,Asia,20.12095728
2011,United Arab Emirates,Asia,20.43383762
2008,Argentina,South America,4.744178401
2009,Argentina,South America,4.427960113
2010,Argentina,South America,4.342272052
2011,Argentina,South America,4.562048512
2008,Armenia,Europe,1.868611029
2009,Armenia,Europe,1.469960972
2010,Armenia,Europe,1.422998378
2011,Armenia,Europe,1.671656923
2008,Antigua And Barbuda,North America,5.628318688
2009,Antigua And Barbuda,North America,5.906292005
2010,Antigua And Barbuda,North America,6.011268671
2011,Antigua And Barbuda,North America,5.823804338
2008,Australia,Oceania,17.70407968
2009,Australia,Oceania,17.63183305
2010,Australia,Oceania,16.71090435
2011,Australia,Oceania,16.51920992
2008,Austria,Europe,8.262046031
2009,Austria,Europe,7.608851293
2010,Austria,Europe,8.127692863
2011,Austria,Europe,7.769983423
2008,Azerbaijan,Europe,4.051383481
2009,Azerbaijan,Europe,3.565668218
2010,Azerbaijan,Europe,3.388225879
2011,Azerbaijan,Europe,3.647379147
2008,Burundi,Africa,0.021615102
2009,Burundi,Africa,0.020867637
2010,Burundi,Africa,0.020542078
2011,Burundi,Africa,0.021349926
2008,Belgium,Europe,9.699598963
2009,Belgium,Europe,9.634775755
2010,Belgium,Europe,10.01260969
2011,Belgium,Europe,8.849398302
2008,Benin,Africa,0.500183373
2009,Benin,Africa,0.514277812
2010,Benin,Africa,0.541771234
2011,Benin,Africa,0.509962226
2008,Burkina Faso,Africa,0.115427271
2009,Burkina Faso,Africa,0.109774087
2010,Burkina Faso,Africa,0.1076731
2011,Burkina Faso,Africa,0.11998056
2008,Bangladesh,Asia,0.334439662
2009,Bangladesh,Asia,0.352155282
2010,Bangladesh,Asia,0.370359878
2011,Bangladesh,Asia,0.372017166
2008,Bulgaria,Europe,6.778939404
2009,Bulgaria,Europe,5.729715977
2010,Bulgaria,Europe,5.966883548
2011,Bulgaria,Europe,6.71438251
2008,Bahrain,Asia,21.51999548
2009,Bahrain,Asia,18.13623374
2010,Bahrain,Asia,18.43502476
2011,Bahrain,Asia,17.94732981
2008,Bahamas,North America,2.99808943
2009,Bahamas,North America,4.630520322
2010,Bahamas,North America,6.829321287
2011,Bahamas,North America,5.199844019
2008,Bosnia And Herzegovina,Europe,5.231546645
2009,Bosnia And Herzegovina,Europe,5.37188996
2010,Bosnia And Herzegovina,Europe,5.513993843
2011,Bosnia And Herzegovina,Europe,6.19665215
2008,Belarus,Europe,6.592748741
2009,Belarus,Europe,6.341938992
2010,Belarus,Europe,6.556549631
2011,Belarus,Europe,6.682510398
2008,Belize,North America,1.473195826
2009,Belize,North America,1.495185156
2010,Belize,North America,1.721708659
2011,Belize,North America,1.670904302
2008,Bermuda,North America,5.955019687
2009,Bermuda,North America,7.095328783
2010,Bermuda,North America,7.320035624
2011,Bermuda,North America,6.07721021
2008,Bolivia,South America,1.412189336
2009,Bolivia,South America,1.459841011
2010,Bolivia,South America,1.547659087
2011,Bolivia,South America,1.599499039
2008,Brazil,South America,1.990428942
2009,Brazil,South America,1.866522375
2010,Brazil,South America,2.113414545
2011,Brazil,South America,2.191393564
2008,Barbados,North America,5.871114076
2009,Barbados,North America,5.833678079
2010,Barbados,North America,5.430338453
2011,Barbados,North America,5.580177618
2008,Brunei,Asia,26.33827137
2009,Brunei,Asia,22.14902862
2010,Brunei,Asia,21.8732221
2011,Brunei,Asia,24.39201338
2008,Bhutan,Asia,0.606778515
2009,Bhutan,Asia,0.549145981
2010,Bhutan,Asia,0.677145031
2011,Bhutan,Asia,0.766205619
2008,Botswana,Africa,2.530551369
2009,Botswana,Africa,2.192294586
2010,Botswana,Africa,2.555293381
2011,Botswana,Africa,2.323345006
2008,Central African Republic,Africa,0.054828457
2009,Central African Republic,Africa,0.053809109
2010,Central African Republic,Africa,0.059398336
2011,Central African Republic,Africa,0.063127814
2008,Canada,North America,16.36616459
2009,Canada,North America,15.08909766
2010,Canada,North America,14.58905354
2011,Canada,North America,14.13581338
2008,Switzerland,Europe,5.281605848
2009,Switzerland,Europe,5.372291182
2010,Switzerland,Europe,4.952499256
2011,Switzerland,Europe,4.625229924
2008,Chile,South America,4.316439805
2009,Chile,South America,3.969434147
2010,Chile,South America,4.24672531
2011,Chile,South America,4.61644538
2008,China,Asia,5.311151855
2009,China,Asia,5.778143184
2010,China,Asia,6.172488876
2011,China,Asia,6.710301991
2008,Cote D'Ivoire,Africa,0.356768972
2009,Cote D'Ivoire,Africa,0.297496879
2010,Cote D'Ivoire,Africa,0.292351513
2011,Cote D'Ivoire,Africa,0.312877703
2008,Cameroon,Africa,0.283310454
2009,Cameroon,Africa,0.332458227
2010,Cameroon,Africa,0.325727347
2011,Cameroon,Africa,0.268091793
2008,Rep Of Congo,Africa,0.34155941
2009,Rep Of Congo,Africa,0.431598927
2010,Rep Of Congo,Africa,0.473472226
