,x,y,z,value
0,-1.0,-1.0,-1.0,1216.0
1,-1.0,-1.0,-0.9166666666666666,1126.921875
2,-1.0,-1.0,-0.8333333333333334,1039.8750000000002
3,-1.0,-1.0,-0.75,955.140625
4,-1.0,-1.0,-0.6666666666666667,873.0000000000002
5,-1.0,-1.0,-0.5833333333333334,793.734375
6,-1.0,-1.0,-0.5,717.625
7,-1.0,-1.0,-0.41666666666666674,644.9531250000001
8,-1.0,-1.0,-0.33333333333333337,576.0000000000001
9,-1.0,-1.0,-0.25,511.046875
10,-1.0,-1.0,-0.16666666666666674,450.3750000000001
11,-1.0,-1.0,-0.08333333333333337,394.2656250000001
12,-1.0,-1.0,0.0,343.0
13,-1.0,-1.0,0.08333333333333326,296.859375
14,-1.0,-1.0,0.16666666666666652,256.12500000000006
15,-1.0,-1.0,0.25,221.078125
16,-1.0,-1.0,0.33333333333333326,192.00000000000009
17,-1.0,-1.0,0.4166666666666665,169.17187500000003
18,-1.0,-1.0,0.5,152.875
19,-1.0,-1.0,0.5833333333333333,143.39062500000003
20,-1.0,-1.0,0.6666666666666665,140.99999999999994
21,-1.0,-1.0,0.75,145.984375
22,-1.0,-1.0,0.8333333333333333,158.62499999999994
23,-1.0,-1.0,0.9166666666666665,179.20312499999994
24,-1.0,-1.0,1.0,208.0
25,-1.0,-0.9166666666666666,-1.0,1126.921875
26,-1.0,-0.9166666666666666,-0.9166666666666666,1043.375
27,-1.0,-0.9166666666666666,-0.8333333333333334,961.640625
28,-1.0,-0.9166666666666666,-0.75,882.0
29,-1.0,-0.9166666666666666,-0.6666666666666667,804.734375
30,-1.0,-0.9166666666666666,-0.5833333333333334,730.125
31,-1.0,-0.9166666666666666,-0.5,658.4531249999999
32,-1.0,-0.9166666666666666,-0.41666666666666674,590.0000000000001
33,-1.0,-0.9166666666666666,-0.33333333333333337,525.046875
34,-1.0,-0.9166666666666666,-0.25,463.8749999999999
35,-1.0,-0.9166666666666666,-0.16666666666666674,406.765625
36,-1.0,-0.9166666666666666,-0.08333333333333337,353.99999999999994
37,-1.0,-0.9166666666666666,0.0,305.85937499999994
38,-1.0,-0.9166666666666666,0.08333333333333326,262.625
39,-1.0,-0.9166666666666666,0.16666666666666652,224.57812500000006
40,-1.0,-0.9166666666666666,0.25,192.0
41,-1.0,-0.9166666666666666,0.33333333333333326,165.171875
42,-1.0,-0.9166666666666666,0.4166666666666665,144.375
43,-1.0,-0.9166666666666666,0.5,129.89062499999997
44,-1.0,-0.9166666666666666,0.5833333333333333,121.99999999999997
45,-1.0,-0.9166666666666666,0.6666666666666665,120.98437499999997
46,-1.0,-0.9166666666666666,0.75,127.12499999999994
47,-1.0,-0.9166666666666666,0.8333333333333333,140.70312499999994
48,-1.0,-0.9166666666666666,0.9166666666666665,161.99999999999994
49,-1.0,-0.9166666666666666,1.0,191.296875
50,-1.0,-0.8333333333333334,-1.0,1039.8750000000002
51,-1.0,-0.8333333333333334,-0.9166666666666666,961.6406250000001
52,-1.0,-0.8333333333333334,-0.8333333333333334,885.0000000000001
53,-1.0,-0.8333333333333334,-0.75,810.2343750000001
54,-1.0,-0.8333333333333334,-0.6666666666666667,737.6250000000002
55,-1.0,-0.8333333333333334,-0.5833333333333334,667.453125
56,-1.0,-0.8333333333333334,-0.5,600.0000000000001
57,-1.0,-0.8333333333333334,-0.41666666666666674,535.5468750000001
58,-1.0,-0.8333333333333334,-0.33333333333333337,474.375
59,-1.0,-0.8333333333333334,-0.25,416.7656250000001
60,-1.0,-0.8333333333333334,-0.16666666666666674,363.0000000000001
61,-1.0,-0.8333333333333334,-0.08333333333333337,313.359375
62,-1.0,-0.8333333333333334,0.0,268.125
63,-1.0,-0.8333333333333334,0.08333333333333326,227.57812500000006
64,-1.0,-0.8333333333333334,0.16666666666666652,192.00000000000006
65,-1.0,-0.8333333333333334,0.25,161.671875
66,-1.0,-0.8333333333333334,0.33333333333333326,136.87500000000009
67,-1.0,-0.8333333333333334,0.4166666666666665,117.89062500000001
68,-1.0,-0.8333333333333334,0.5,105.0
69,-1.0,-0.8333333333333334,0.5833333333333333,98.48437500000003
70,-1.0,-0.8333333333333334,0.6666666666666665,98.625
71,-1.0,-0.8333333333333334,0.75,105.70312500000003
72,-1.0,-0.8333333333333334,0.8333333333333333,120.0
73,-1.0,-0.8333333333333334,0.9166666666666665,141.79687499999991
74,-1.0,-0.8333333333333334,1.0,171.375
75,-1.0,-0.75,-1.0,955.140625
