x,y,z,u,v,w
-7.13951683,-8.66400623,-14.8824177,0.636595734325,-0.324044287677,-0.250673631839
-5.24462366,-6.92718697,-14.3522158,0.636745245098,-0.192036234451,-0.0187747072907
-6.84395361,-7.60949898,-14.3269711,0.691551450053,-0.265829350456,-0.211760615595
-4.89705944,-7.08333731,-11.0781069,0.671393551295,-0.289265112232,0.0999093778387
-3.0303309,-6.39436293,-10.9577656,0.689872210199,-0.170497018057,0.155503781324
-2.14634943,-4.48561573,-9.44124222,0.757648691248,0.000434055918941,0.424106581211
-6.59258652,-8.86267281,-16.6560211,0.584532299738,-0.309348315489,-0.36293131839
-4.84378672,-7.13383389,-13.4711409,0.557488286184,-0.187580060573,-0.0495474443949
-5.30990458,-6.17098284,-11.8602114,0.603381896356,-0.0554052527341,-0.00149966511741
-4.8454113,-7.38433838,-13.0952721,0.723036605134,-0.183967278879,-0.0552639735554
-4.1225853,-5.92169523,-15.5013676,0.685560303898,-0.285587794199,-0.217587726585
-1.04960942,-5.69824409,-11.1695013,0.753038741889,-0.0982529656207,0.198056871047
-3.20321441,-7.88769293,-10.64252,0.582589659567,-0.0280835896225,0.265890092616
-4.76058102,-5.72930622,-15.2878056,0.51092524396,-0.223229449991,-0.172097155473
0.652336478,-5.73936653,-9.44340229,0.733985662617,0.101275532124,0.51186880494
-10.4123688,-6.81269503,-17.785635,0.407112081668,-0.347888028004,-0.546211077097
1.67122483,-4.60524654,-9.17808342,0.671172038804,0.128642808052,0.649980915913
-4.25003147,-7.16837502,-13.5680304,0.748572555355,-0.263755719128,-0.141499835698
-5.04904079,-5.63792896,-11.716404,0.585700918757,-0.0492453151617,0.161293504996
-4.34066772,-7.81686783,-12.676754,0.536578759205,-0.284909148322,-0.00276136716278
-4.7609973,-7.71515369,-13.2005386,0.562682398013,-0.203301344511,-0.0117516873689
-4.66049767,-6.98959589,-13.6415777,0.73302293237,-0.173006592364,0.0537481160075
-5.47390556,-6.84095526,-13.6935759,0.660641239338,-0.281174311255,-0.080860766994
-4.80934715,-7.71909618,-14.4081879,0.568662524151,-0.314934681625,-0.261734467366
-4.84148312,-7.09346437,-13.2007151,0.621830735448,-0.266406827662,-0.0404552677745
-5.02178764,-6.79875565,-13.7746582,0.520891010123,-0.227673304014,-0.0771715119459
-6.72894096,-5.84720325,-16.1841354,0.658029089049,-0.307234706257,-0.372610304262
-5.29926443,-6.23306179,-11.3860817,0.609541032264,-0.200960003777,0.0720739677579
-6.65274191,-6.25936317,-16.9193535,0.568465901605,-0.174012017289,-0.360107855942
-4.93299341,-6.67343044,-12.8457203,0.437521015303,-0.172731784912,0.0153075758882
-4.97292089,-7.66338873,-15.2802296,0.733671225881,-0.234518465093,-0.196299840891
-2.72478342,-8.7305336,-12.0658569,0.633119365571,-0.287124497276,0.0299903231474
-5.18286562,-6.71350622,-13.7152233,0.626743454549,-0.240549627115,-0.00290287389602
-6.90825462,-7.12083244,-16.931818,0.563431780526,-0.298941772191,-0.310761372483
-5.39413071,-7.94378996,-13.6634789,0.603655177795,-0.223667799622,-0.0316759312444
-13.5165739,-5.09460163,-12.8604383,0.392417251584,-0.343145175961,-0.686516510894
-4.56532001,-6.86968279,-13.1479282,0.704912399368,-0.265392917698,-0.0562948434366
-4.83722544,-5.56308126,-13.2509346,0.575897675649,-0.203145491748,-0.0369721132893
-5.74968576,-5.98043346,-12.1543665,0.569569453869,-0.171524777631,0.0219234735697
-3.95348549,-5.42775249,-12.4997578,0.561896463907,-0.0903378844489,0.0911997251348
-4.68436193,-6.4325099,-10.1786995,0.648689141125,-0.103233819008,0.161838592122
-4.99824715,-7.47321224,-13.5272894,0.548987629351,-0.165687896201,-0.138268415017
-5.23665905,-9.12705994,-14.1522799,0.712637447011,-0.309190728717,-0.197434275936
-6.24775887,-5.2180047,-15.9809799,0.513891444229,-0.203807208185,-0.251904789586
-4.46011877,-8.79546356,-13.3784046,0.719837554749,-0.321769379302,-0.148017279878
-6.44294405,-5.08963585,-15.207674,0.695412091756,-0.295185579498,-0.288143404478
0.561905682,-6.82801962,-6.98383236,0.577971224634,0.305844575281,0.810495119131
-7.19647312,-8.80137539,-14.3385592,0.651042537576,-0.446418309855,-0.319794000431
-5.07237339,-6.73322678,-13.6491642,0.768925403071,-0.231310480528,-0.0555667454357
-7.86082458,-9.20124531,-13.6800766,0.633148329875,-0.392861251312,-0.238144627472
1.02498531,-6.79157305,-7.65476084,0.619545180807,0.0834699395795,0.682882311549
-4.69223976,-6.14483595,-14.2627964,0.606888860226,-0.295546829115,-0.0831504933074
-15.4939413,-5.14849472,-14.4847374,0.286851178943,-0.399609282789,-0.595902272662
-6.02384233,-8.59050846,-13.6844263,0.66123291424,-0.307263119292,-0.107673583167
-4.88110638,-7.19452906,-13.0224094,0.764835581383,-0.264142159187,-0.0423609304702
-5.21670151,-6.82420874,-13.4611235,0.692661611119,-0.158500077306,-0.124308046846
-12.0574064,-4.68577147,-12.4138641,0.564140285782,-0.362438529022,-0.558527750181
-4.26902866,-6.94379854,-14.056819,0.598257214375,-0.247263269295,-0.131708402347
-5.07742643,-7.04333544,-13.3768969,0.65981459373,-0.155588581447,-0.0272102603153
-3.86029434,-7.10263109,-12.2976351,0.736752301668,-0.172476191107,-0.0538984106398
-7.08114481,-7.26112604,-14.5614624,0.6622091936,-0.420504120156,-0.340912652677
1.57325566,-6.86743498,-8.91340542,0.564848999569,0.107039423188,0.539040954926
-7.32832289,-6.67123318,-14.9239893,0.527854432929,-0.329167358629,-0.147522451192
-4.60231972,-5.86158371,-12.9169064,0.683338019444,-0.235676703587,-0.010386891363
-4.99210548,-7.65102911,-13.5698671,0.60399355807,-0.118710421686,-0.1078228683
-0.373643905,-4.15032339,-10.676178,0.713363575739,0.0521010658308,0.339244736011
-4.1842885,-7.57914877,-14.6399441,0.749739826949,-0.336479180782,-0.160116603587
-3.81213427,-5.18076181,-9.68866444,0.754331660919,-0.0997792047621,0.249201587011
-3.78846216,-7.57649994,-10.777216,0.71356118212,-0.0573708723938,0.0721127474154
-4.19046307,-6.91986179,-10.1507158,0.753878359142,-0.120610546302,0.154161012358
-7.18953943,-5.85732841,-17.7095699,0.556042306021,-0.222155450727,-0.441175896561
0.414386213,-4.32160139,-8.7946558,0.773756046843,-0.0156331730513,0.543211509865
-4.47950459,-6.94316101,-13.7160654,0.631880295442,-0.328632592141,-0.139346289199
-4.35643101,-5.73410654,-12.4446554,0.588815733654,-0.155615984983,-0.0136215127142
-5.20765972,-6.56761408,-11.7907906,0.650430710106,-0.258530602608,-0.0115086594845
-0.913703561,-6.12524843,-11.8872309,0.532878272936,-0.0194998160921,0.333178818429
-1.5280112,-5.63220072,-9.24173737,0.783084937322,-0.000913890464527,0.567453150855
-8.49717808,-4.97556591,-15.9153357,0.540852648855,-0.337487440648,-0.458360454764
-5.50508451,-6.98194742,-13.5336676,0.723856968103,-0.265544731927,-0.0499691657242
-4.62328434,-6.72134209,-13.3419361,0.558594939666,-0.265188561356,-0.0505487336856
-5.14827013,-7.27226496,-13.6639166,0.667921711389,-0.189048352393,-0.192308900458
-5.96935987,-6.42450285,-14.275178,0.734028988767,-0.431869603265,-0.257287125542
-5.31615543,-5.34002924,-13.3970604,0.64442153946,-0.263388595377,-0.0482575235466
-8.43221951,-8.88350868,-16.3433514,0.459712361628,-0.317529250149,-0.437413075283
-4.47141314,-6.63328171,-13.7834949,0.581718506138,-0.167842054389,-0.0176967868046
-12.9085283,-6.76992226,-14.0227337,0.446699216012,-0.37326928735,-0.551788451306
-5.77139759,-7.39195299,-12.683567,0.590734184327,-0.254001958621,-0.0530178762415
-5.00191832,-7.06612635,-10.5332737,0.698295807121,-0.202375284024,0.121301736604
-5.18798304,-6.50339842,-14.770956,0.641873311684,-0.284325960063,-0.102079037837
-5.07664156,-7.1886034,-12.9144554,0.580744429712,-0.198636306832,-0.170834770603
-4.79417944,-7.83100367,-12.8971243,0.696809933535,-0.241854518985,0.0250244868714
-8.11254025,-5.89365578,-16.3802586,0.586005362087,-0.247791997499,-0.467762286951
-4.59323025,-7.00442123,-13.7848625,0.594102037197,-0.134391921279,-0.105314232379
