AAPL_x,AAPL_y
2014-01-02,1.44539475
2014-01-03,10.04557544
2014-01-06,15.89697204
2014-01-07,20.856461
2014-01-08,15.09194679
2014-01-09,18.20263178
2014-01-10,18.2301837
2014-01-13,16.84891755
2014-01-14,14.0113527
2014-01-15,18.14481412
2014-01-16,25.33058367
2014-01-17,35.85652616
2014-01-21,45.39394758
2014-01-22,100.7763823
2014-01-23,250.64038513
2014-01-24,300.20512022
2014-01-27,400.66007339
2014-01-28,300.90497216
2014-01-29,350.23598702
2014-01-30,250.03463724
2014-01-31,200.00470795
2014-02-03,300.04050186
2014-02-04,350.50025256
2014-02-05,400.599595
2014-02-06,375.50652865
2014-02-07,400.09834283
2014-02-10,450.71181988
2014-02-11,360.38994589
2014-02-12,340.2743945
2014-02-13,300.9602296
2014-02-14,305.05688873
2014-02-18,320.55140204
2014-02-19,345.37468597
2014-02-20,400.7279776
2014-02-21,325.69710728
2014-02-24,340.34314093
2014-02-25,350.21622457
2014-02-26,370.40762211
2014-02-27,380.50368071
2014-02-28,440.17817422
2014-03-03,460.38154805
2014-03-04,470.44635193
2014-03-05,480.43810354
2014-03-06,490.69600358
2014-03-07,470.46113283
2014-03-10,450.07111203
2014-03-11,460.07027178
2014-03-12,475.93559065
2014-03-13,480.35199472
2014-03-14,490.13480798
2014-03-17,500.98459392
2014-03-18,525.7289236
2014-03-19,535.62019501
2014-03-20,540.28682958
2014-03-21,545.57820913
2014-03-24,550.48205234
2014-03-25,555.92068662
2014-03-26,565.62498351
2014-03-27,570.70890299
2014-03-28,560.47469806
2014-03-31,580.5990936
2014-04-01,590.39461719
2014-04-02,600.03616773
2014-04-03,620.90452792
2014-04-04,630.68018051
2014-04-07,640.02790571
2014-04-08,650.62532898
2014-04-09,655.27327651
2014-04-10,670.39941392
2014-04-11,560.47469806
2014-04-12,580.5990936
2014-04-13,590.39461719
2014-04-14,600.03616773
2014-04-15,620.90452792
2014-04-16,630.68018051
2014-04-17,640.02790571
2014-04-18,650.62532898
2014-04-19,655.27327651
2014-04-20,670.39941392
2014-04-21,680.30519282
2014-04-22,690.23767089
2014-04-23,700.08750733
2014-05-24,710.99289917
2014-05-01,720.04635189
2014-05-02,730.73311868
2014-05-06,720.3659999
2014-05-07,710.449361
2014-05-08,705.92665266
2014-05-09,710.40901903
2014-05-12,715.82714134
2014-05-13,725.46187012
2014-05-14,735.516998
2014-05-15,740.83894399
2014-05-16,741.98805242
2014-05-19,742.28974015
2014-05-20,743.22180467
2014-05-21,745.13035972
2014-05-22,748.51554663
2014-05-23,750.61005813
2014-05-27,760.82546553
2014-05-28,765.25336036
2014-05-29,770.51837168
2014-05-30,771.94207773
2014-06-02,772.37862849
2014-06-03,773.59990714
2014-06-04,771.8695301
2014-06-05,775.09787905
2014-06-06,780.62042691
2014-06-09,781.483127
2014-06-10,782.48368488
2014-06-11,783.89646175
2014-06-12,784.80705602
2014-06-13,785.98790535
2014-06-16,790.30905531
2014-06-17,795.09697763
2014-06-18,800.05881862
2014-06-19,810.07433595
2014-06-20,820.64769552
2014-06-23,830.12358031
2014-06-24,840.55380483
2014-06-25,850.02197543
2014-06-26,870.18693839
2014-06-27,890.62525984
2014-06-30,900.89089637
2014-07-01,890.62525984
2014-07-02,870.63486842
2014-07-03,850.43474742
2014-07-07,840.90402626
2014-07-08,830.00793917
2014-07-09,820.1893448
2014-07-10,810.52683502
2014-07-11,800.10816215
2014-07-14,795.59776879
2014-07-15,790.53059169
2014-07-16,785.69111732
2014-07-17,784.78457514
2014-07-18,783.39063645
2014-07-21,782.74625186
2014-07-22,781.44052365
2014-07-23,780.16331104
2014-07-24,775.75986808
2014-07-25,775.58074639
2014-07-28,771.53575439
2014-07-29,773.0275432
2014-07-30,771.14618849
2014-07-31,795.87943933
2014-08-01,793.65612192
2014-08-04,795.09971859
2014-08-05,694.10684609
2014-08-06,693.50276432
2014-08-07,694.14628493
2014-08-08,693.48395187
2014-08-11,694.48592562
2014-08-12,695.24942378
2014-08-13,695.3589675
2014-08-14,696.53139487
2014-08-15,697.09066136
2014-08-18,697.67554054
2014-08-19,598.58924699
2014-08-20,599.61107288
2014-08-21,599.74008252
2014-08-22,599.46843762
2014-08-25,500.9479319
2014-08-26,490.5856398
2014-08-27,470.1891295
2014-08-28,450.755422
2014-08-29,402.0170498
2014-09-02,402.2119748
2014-09-03,402.255943
2014-09-04,358.03397371
2014-09-05,397.99139133
2014-09-08,398.48225905
2014-09-09,398.2609899
2014-09-10,397.20457129
2014-09-11,399.58834664
2014-09-12,300.3737183
2014-09-15,301.960247
2014-09-16,308.97872298
2014-09-17,300.4325635
2014-09-18,301.0888447
2014-09-19,301.449066
2014-09-22,300.9639224
2014-09-23,399.77669525
2014-09-24,301.3166152
2014-09-25,299.67815061
2014-09-26,297.71828883
2014-09-29,297.84195885
2014-09-30,299.97950571
2014-10-01,299.75834241
2014-10-02,298.45517117
2014-10-03,298.62148163
2014-10-06,299.12728368
2014-10-07,298.61442228
2014-10-08,297.94679762
2014-10-09,200.7057276
2014-10-10,299.86032959
2014-10-13,200.4975123
2014-10-14,299.56654785
2014-10-15,297.16647324
2014-10-16,294.76582693
2014-10-17,196.70139244
2014-10-20,197.51183641
2014-10-21,152.1754914
2014-10-22,141.991238
2014-10-23,153.2261528
2014-10-24,124.3103307
2014-10-27,123.982152
2014-10-28,134.5310474
2014-10-29,125.7756568
2014-10-30,116.0801645
2014-10-31,107.1199176
2014-11-03,97.3297075
2014-11-04,98.4637716
2014-11-05,98.1980158
2014-11-06,98.1703956
2014-11-07,98.3210256
2014-11-10,88.5892493
2014-11-11,78.2739198
2014-11-12,68.947396
2014-11-13,61.363978
2014-11-14,62.7040594
2014-11-17,63.8188946
2014-11-18,53.4959626
2014-11-19,54.9869783
2014-11-20,54.4555369
2014-11-21,57.0458925
2014-11-24,56.3870522
2014-11-25,58.60425
2014-11-26,57.4741866
2014-11-28,58.7986564
2014-12-01,58.3453741
2014-12-02,43.054436
2014-12-03,35.2907142
2014-12-04,35.318909
2014-12-05,25.5361261
2014-12-08,23.6533452
2014-12-09,49.7554968
2014-12-10,23.9603314
2014-12-11,15.8174772
2014-12-12,10.0271393
