Year,Round,Pick,x+y/100,Overall,Team,Name,Position,POB,Height,Weight,y/x,Amatuer League,Amateur Team,Col13,Col14
2013,1,1,1.01,1,COL,Nathan Mackinnon,C,CAN,72,182,2.52777777778,QMJHL,Halifax,2.5277777778,1
2013,1,2,1.02,2,FLA,Aleksander Barkov,C,FIN,75,209,2.78666666667,Finland,Tappara,2.7866666667,1
2013,1,3,1.03,3,TBL,Jonathan Drouin,LW,CAN,70,186,2.65714285714,QMJHL,Halifax,2.6571428571,1
2013,1,4,1.04,4,NSH,Seth Jones,D,USA,75,205,2.73333333333,WHL,Portland,2.7333333333,1
2013,1,5,1.05,5,CAR,Elias Lindholm,C,SWE,72,192,2.66666666667,Sweden,Brynas,2.6666666667,1
2013,1,6,1.06,6,CGY,Sean Monahan,C,CAN,74,187,2.52702702703,OHL,Ottawa,2.527027027,1
2013,1,7,1.07,7,EDM,Darnell Nurse,D,CAN,75,185,2.46666666667,OHL,Sault Ste. Marie,2.4666666667,1
2013,1,8,1.08,8,BUF,Rasmus Ristolainen,D,FIN,76,207,2.72368421053,Finland,TPS,2.7236842105,1
2013,1,9,1.09,9,VAN,Bo Horvat,C,CAN,72,206,2.86111111111,OHL,London,2.8611111111,1
2013,1,10,1.1,10,DAL,Valeri Nichushkin,RW,RUS,76,202,2.65789473684,KHL,Chelyabinsk,2.6578947368,1
2013,1,11,1.11,11,PHI,Samuel Morin,D,CAN,78,202,2.58974358974,QMJHL,Rimouski,2.5897435897,0
2013,1,12,1.12,12,PHX,Max Domi,C/LW,CAN,69,197,2.85507246377,OHL,London,2.8550724638,0
2013,1,13,1.13,13,WPG,Joshua Morrissey,D,CAN,71,186,2.61971830986,WHL,Prince Albert,2.6197183099,0
2013,1,14,1.14,14,CBJ,Alexander Wennberg,C,SWE,73,190,2.60273972603,Sweden D2,Djurgarden,2.602739726,0
2013,1,15,1.15,15,NYI,Ryan Pulock,D,CAN,72,211,2.93055555556,WHL,Brandon,2.9305555556,0
2013,1,16,1.16,16,BUF,Nikita Zadorov,D,RUS,77,221,2.87012987013,OHL,London,2.8701298701,0
2013,1,17,1.17,17,OTT,Curtis Lazar,C/RW,CAN,71,190,2.67605633803,WHL,Edmonton,2.676056338,0
2013,1,18,1.18,18,SJS,Mirco Mueller,D,CHE,75,184,2.45333333333,WHL,Everett,2.4533333333,0
2013,1,19,1.19,19,CBJ,Kerby Rychel,LW,USA,72,205,2.84722222222,OHL,Windsor,2.8472222222,0
2013,1,20,1.2,20,DET,Anthony Mantha,RW,CAN,75,190,2.53333333333,QMJHL,Val-D'or,2.5333333333,0
2013,1,21,1.21,21,TOR,Frederik Gauthier,C,CAN,76,214,2.81578947368,QMJHL,Rimouski,2.8157894737,0
2013,1,22,1.22,22,CGY,Emile Poirier,LW,CAN,72,183,2.54166666667,QMJHL,Gatineau,2.5416666667,0
2013,1,23,1.23,23,WSH,Andre Burakovsky,LW,AUT,73,178,2.43835616438,Sweden D2,Malmo,2.4383561644,0
2013,1,24,1.24,24,VAN,Hunter Shinkaruk,C/LW,CAN,70,181,2.58571428571,WHL,Medicine Hat,2.5857142857,0
2013,1,25,1.25,25,MTL,Michael Mccarron,RW,USA,77,228,2.96103896104,USHL,USA U-18,2.961038961,0
