DATE,Auckland,Christchurch,Dunedin,Hamilton,Wellington
2000-01,115.4,47.2,174.8,96.2,91.8
2000-02,8.4,25.2,41,8.2,35.2
2000-03,57.2,60.8,74.2,33.8,53.4
2000-04,106.8,58.2,50,129.6,109.8
2000-05,128.2,62,'-,98.2,78.2
2000-06,146.2,38,68.4,100.2,98.6
2000-07,148.8,18,22.6,98.6,32.2
2000-08,84.6,108.4,155.8,102.6,64
2000-09,66,83.4,68.6,113.2,76.2
2000-10,51.6,78,63.6,96.2,59.6
2000-11,72.6,75.6,95.4,94.2,40.2
2000-12,60.2,31.2,73.8,131.2,45
2001-01,56.6,38,52.4,50.4,6.8
2001-02,110.4,5,31.8,181.6,19
2001-03,19.6,11.2,2.2,78.6,15
2001-04,98.2,6.8,20.6,67,11.2
2001-05,209.8,44,72.8,139.6,57.2
2001-06,77,37.2,47.6,'-,70.8
2001-07,95.2,80.2,63.8,108.8,88.6
2001-08,125.8,26.2,40,81.6,59
2001-09,56.6,7.6,19.6,39.6,7.6
2001-10,106.6,78,61.4,96.8,137
2001-11,118.8,74.2,55,127.2,135.6
2001-12,181.4,31,48.2,198.8,133.8
2002-01,92,137.6,118.6,105.2,97
2002-02,31.2,54.2,50.4,27.8,101.4
2002-03,122.6,32.2,34.4,109.8,46.4
2002-04,58.6,87.2,70.2,58.2,35.2
2002-05,95.8,29.6,54.6,92,47.4
2002-06,126.4,87,75.8,135.4,141
2002-07,143.2,20,27.8,136.2,115.8
2002-08,90.6,25,64.2,88.4,85.8
2002-09,76.2,32.6,60,87,102.6
2002-10,86.8,36,42.9,74.8,22.2
2002-11,43.6,87.8,48.9,93.6,93.6
2002-12,87.4,31.4,23.6,120.4,84.6
2003-01,108.6,43.2,71,125.8,40.8
2003-02,54.4,11.6,52.6,42.4,30.8
2003-03,144.4,46.4,25,108,26.4
2003-04,55.2,48.2,21.8,30.7,37.6
2003-05,86,35.8,29,57.6,62.4
2003-06,101.8,19.4,44.6,'-,132.2
2003-07,99,41.8,26.6,69.2,49
2003-08,52.4,30.4,34.6,34.8,125.2
2003-09,167,85.8,60.2,177.9,172.6
2003-10,106.4,48.4,61.2,74.6,139.4
2003-11,73.8,25.6,56.4,185.4,70
2003-12,85,1,50.2,157.8,44
2004-01,70.4,29.8,39.8,96.6,124.6
2004-02,271.6,89,75.4,332.2,294.1
2004-03,8.8,37,46.2,20.4,39
2004-04,39.4,42.6,49.2,44.4,81.8
2004-05,216.8,50.8,101.2,130.4,83.6
2004-06,111.6,5.6,41.8,148.8,59.8
2004-07,77.4,50.6,11,107,121
2004-08,73,130.4,120,150.1,114.6
2004-09,76.1,31.4,42.4,96.6,115.4
2004-10,104.2,35.8,43,129.6,64.8
2004-11,41.6,29.2,76.4,70.4,52
2004-12,133.2,110.4,119,162.4,98.4
2005-01,16,17,53.2,45.4,69.2
2005-02,62.8,29,116.8,56.4,29.8
2005-03,39.8,40,84.4,53,155
2005-04,20.8,45,30,29.8,40.8
2005-05,150.2,85.8,47.8,242.6,159.3
2005-06,109.2,17,49.6,86.6,38.4
2005-07,161.8,36.8,24.6,160.4,104.8
2005-08,38.4,13.4,9.6,96.2,35.4
2005-09,91.6,35.6,47.6,139.5,33.6
2005-10,180.4,42.6,23.6,201.9,66.4
2005-11,40.8,31,44.6,74.4,32.8
