DATE,DFF,CPIAUCSL,Real Fed Funds,USRECM
01/06/1954,,,,
01/07/1954,0.8,0.26129,0.53871,1
01/08/1954,1.22,0,1.22,1
01/09/1954,1.07,-0.29751,1.36751,1
01/10/1954,0.85,-0.85343,1.70343,1
01/11/1954,0.83,-0.26071,1.09071,1
01/12/1954,1.28,-0.37216,1.65216,1
01/01/1955,1.39,-0.63103,2.02103,1
01/02/1955,1.29,-0.62986,1.91986,1
01/03/1955,1.35,-0.51987,1.86987,1
01/04/1955,1.43,-0.26061,1.69061,1
01/05/1955,1.43,-0.59413,2.02413,1
01/06/1955,1.64,-0.85375,2.49375,
01/07/1955,1.68,-0.3723,2.0523,
01/08/1955,1.96,-0.48417,2.44417,
01/09/1955,2.18,0.1492,2.0308,
01/10/1955,2.24,0.37425,1.86575,
01/11/1955,2.35,0.37341,1.97659,
01/12/1955,2.48,0.37355,2.10645,
01/01/1956,2.45,0.22413,2.22587,
01/02/1956,2.5,0.14914,2.35086,
01/03/1956,2.5,0.37327,2.12673,
01/04/1956,2.62,0.52258,2.09742,
01/05/1956,2.75,0.97124,1.77876,
01/06/1956,2.71,1.64732,1.06268,
01/07/1956,2.75,1.98057,0.76943,
01/08/1956,2.73,2.20808,0.52192,
01/09/1956,2.95,1.8622,1.0878,
01/10/1956,2.96,2.57271,0.38729,
01/11/1956,2.88,2.34375,0.53625,
01/12/1956,2.94,2.82843,0.11157,
01/01/1957,2.84,3.13082,-0.29082,
01/02/1957,3,3.49963,-0.49963,
01/03/1957,2.96,3.60729,-0.64729,
01/04/1957,3,3.71333,-0.71333,
01/05/1957,3,3.58861,-0.58861,
01/06/1957,3,3.53591,-0.53591,
01/07/1957,2.99,3.29791,-0.30791,
01/08/1957,3.24,3.55181,-0.31181,
01/09/1957,3.47,3.54662,-0.07662,
01/10/1957,3.5,2.94438,0.55562,
01/11/1957,3.28,3.27154,0.00846,
01/12/1957,2.98,3.04017,-0.06017,
01/01/1958,2.72,3.5056,-0.7856,
01/02/1958,1.67,3.23741,-1.56741,
01/03/1958,1.2,3.62527,-2.42527,
01/04/1958,1.26,3.61618,-2.35618,
01/05/1958,0.63,3.35714,-2.72714,
01/06/1958,0.93,2.84596,-1.91596,
01/07/1958,0.68,2.48315,-1.80315,
01/08/1958,1.53,2.3338,-0.8038,1
01/09/1958,1.76,2.08333,-0.32333,1
01/10/1958,1.8,2.08333,-0.28333,1
01/11/1958,2.27,1.90074,0.36926,1
01/12/1958,2.42,1.75623,0.66377,1
01/01/1959,2.48,1.2919,1.1881,1
01/02/1959,2.43,1.0453,1.3847,1
01/03/1959,2.8,0.34638,2.45362,1
01/04/1959,2.96,0.13822,2.82178,1
01/05/1959,2.9,0.34554,2.55446,
01/06/1959,3.39,0.6918,2.6982,
01/07/1959,3.47,0.89997,2.57003,
01/08/1959,3.5,0.8293,2.6707,
01/09/1959,3.76,1.17606,2.58394,
01/10/1959,3.98,1.52196,2.45804,
01/11/1959,4,1.38169,2.61831,
01/12/1959,3.99,1.51881,2.47119,
01/01/1960,3.99,1.24095,2.74905,
01/02/1960,3.97,1.41379,2.55621,
01/03/1960,3.84,1.51881,2.32119,
01/04/1960,3.92,1.93237,1.98763,
01/05/1960,3.85,1.82507,2.02493,
01/06/1960,3.32,1.71762,1.60238,
01/07/1960,3.23,1.37221,1.85779,
01/08/1960,2.98,1.47361,1.50639,
01/09/1960,2.6,1.23077,1.36923,
01/10/1960,2.47,1.36286,1.10714,
01/11/1960,2.44,1.46508,0.97492,
01/12/1960,1.98,1.36008,0.61992,
01/01/1961,1.45,1.60027,-0.15027,
01/02/1961,2.54,1.46209,1.07791,
01/03/1961,2.02,1.46209,0.55791,
01/04/1961,1.49,0.91401,0.57599,1
01/05/1961,1.98,0.91309,1.06691,1
01/06/1961,1.73,0.77676,0.95324,1
01/07/1961,1.17,1.25212,-0.08212,1
01/08/1961,2,1.11449,0.88551,1
01/09/1961,1.88,1.24958,0.63042,1
01/10/1961,2.26,0.77311,1.48689,1
01/11/1961,2.61,0.67159,1.93841,1
01/12/1961,2.33,0.67092,1.65908,1
01/01/1962,2.15,0.67024,1.47976,1
01/02/1962,2.37,0.90483,1.46517,1
01/03/1962,2.85,1.1059,1.7441,
01/04/1962,2.78,1.34183,1.43817,
01/05/1962,2.36,1.34048,1.01952,
01/06/1962,2.68,1.23995,1.44005,
01/07/1962,2.71,1.00267,1.70733,
01/08/1962,2.93,1.1356,1.7944,
01/09/1962,2.9,1.46765,1.43235,
01/10/1962,2.9,1.33422,1.56578,
01/11/1962,2.94,1.33422,1.60578,
01/12/1962,2.93,1.23292,1.69708,
01/01/1963,2.92,1.33156,1.58844,
01/02/1963,3,1.22883,1.77117,
01/03/1963,2.98,1.12695,1.85305,
01/04/1963,2.9,0.89374,2.00626,
01/05/1963,3,0.89286,2.10714,
01/06/1963,2.99,1.32406,1.66594,
01/07/1963,3.02,1.55526,1.46474,
01/08/1963,3.49,1.55218,1.93782,
01/09/1963,3.48,0.98619,2.49381,
01/10/1963,3.5,1.21791,2.28209,
01/11/1963,3.48,1.31666,2.16334,
01/12/1963,3.38,1.64582,1.73418,
01/01/1964,3.48,1.64258,1.83742,
01/02/1964,3.48,1.41076,2.06924,
01/03/1964,3.43,1.40937,2.02063,
