mauna loa co2,date,south pole co2,heat content,date,+2σ heat content,-2σ heat content,date,-2σ temperature anomaly,temperature anomaly,+2σ temperature anomaly
315.71,03/01/58,314.32,-5.846153846,03/20/60,-2.153846154,-9.538461538,11/19/60,-0.109565217,-0.04173913,0.036521739
317.45,04/01/58,314.47,-4.923076923,02/15/62,-1.435897436,-8.205128205,11/10/61,-0.036521739,0.04173913,0.130434783
317.5,05/01/58,314.61,-7.282051282,12/29/64,-4,-10.76923077,11/16/62,-0.052173913,0.026086957,0.099130435
317.1,06/01/58,314.73,-8.41025641,12/03/65,-5.435897436,-12,10/31/63,-0.036521739,0.052173913,0.135652174
315.86,07/01/58,314.85,-9.538461538,02/01/68,-6.666666667,-12.41025641,10/03/64,-0.292173913,-0.208695652,-0.130434783
314.93,08/01/58,314.94,-9.128205128,01/14/69,-6.358974359,-11.48717949,11/06/66,-0.151304348,-0.067826087,0.020869565
313.2,09/01/58,315.03,-6.769230769,01/18/71,-4.307692308,-9.538461538,11/12/67,-0.156521739,-0.07826087,0.005217391
312.66,10/01/58,315.12,-6.153846154,01/29/72,-3.282051282,-8.512820513,10/20/68,-0.177391304,-0.104347826,-0.026086957
313.33,11/01/58,315.2,-4.923076923,02/13/73,-2.461538462,-7.282051282,11/12/69,-0.046956522,0.031304348,0.099130435
314.67,12/01/58,315.28,-4.512820513,03/22/74,-1.948717949,-6.974358974,11/14/70,-0.099130435,-0.031304348,0.057391304
315.62,01/01/59,315.36,-2.871794872,05/05/75,-0.205128205,-5.230769231,10/06/71,-0.245217391,-0.166956522,-0.093913043
316.38,02/01/59,315.44,-1.230769231,04/07/77,1.230769231,-3.58974359,11/18/73,-0.026086957,0.052173913,0.130434783
316.71,03/01/59,315.53,0.205128205,04/04/79,2.564102564,-1.948717949,10/23/74,-0.271304348,-0.19826087,-0.125217391
317.72,04/01/59,315.6,-0.615384615,05/02/80,1.435897436,-2.974358974,10/10/75,-0.224347826,-0.151304348,-0.073043478
318.29,05/01/59,315.67,-0.717948718,04/12/81,1.333333333,-2.974358974,10/06/76,-0.302608696,-0.219130435,-0.156521739
318.15,06/01/59,315.73,-0.41025641,03/26/82,1.743589744,-2.564102564,11/18/77,-0.026086957,0.046956522,0.12
316.54,07/01/59,315.78,-0.923076923,03/30/83,1.230769231,-2.974358974,11/14/78,-0.114782609,-0.052173913,0.031304348
314.8,08/01/59,315.83,-0.41025641,04/08/84,1.538461538,-2.358974359,11/08/79,-0.005217391,0.062608696,0.135652174
313.84,09/01/59,315.87,-0.102564103,08/29/85,1.743589744,-1.846153846,11/19/80,0.020869565,0.088695652,0.177391304
313.26,10/01/59,315.91,0.615384615,04/11/87,2.358974359,-1.128205128,12/03/81,0.062608696,0.135652174,0.224347826
314.8,11/01/59,315.94,0.41025641,08/27/88,1.948717949,-1.435897436,11/24/82,-0.04173913,0.020869565,0.109565217
315.58,12/01/59,315.99,0.205128205,04/02/90,1.743589744,-1.333333333,12/23/83,0.099130435,0.187826087,0.255652174
316.43,01/01/60,316.03,2.769230769,05/23/91,4.102564103,1.538461538,11/09/84,-0.088695652,-0.005217391,0.07826087
316.97,02/01/60,316.09,3.794871795,06/05/92,5.025641026,2.666666667,11/13/85,-0.093913043,-0.020869565,0.057391304
317.58,03/01/60,316.15,3.384615385,05/22/94,4.307692308,2.256410256,11/03/86,-0.031304348,0.04173913,0.114782609
319.02,04/01/60,316.2,4.512820513,06/06/95,5.435897436,3.487179487,12/25/87,0.104347826,0.187826087,0.266086957
320.03,05/01/60,316.27,5.025641026,04/30/97,6.358974359,3.692307692,12/07/88,0.12,0.203478261,0.28173913
319.59,06/01/60,316.33,6.153846154,05/15/98,7.794871795,4.615384615,12/05/89,0.062608696,0.130434783,0.213913043
318.18,07/01/60,316.39,6.256410256,05/23/99,8,4.615384615,01/01/91,0.224347826,0.286956522,0.370434783
315.91,08/01/60,316.45,9.128205128,05/10/02,10.15384615,8.512820513,12/09/91,0.182608696,0.250434783,0.339130435
314.16,09/01/60,316.5,9.948717949,06/18/03,10.66666667,9.435897436,11/26/92,0.031304348,0.109565217,0.208695652
313.83,10/01/60,316.56,11.58974359,06/09/04,12,11.07692308,11/26/94,0.12,0.203478261,0.28173913
315,11/01/60,316.61,12.41025641,07/26/06,12.82051282,11.79487179,01/14/96,0.229565217,0.313043478,0.40173913
316.19,12/01/60,316.67,12.61538462,08/30/07,13.02564103,12.20512821,01/04/97,0.114782609,0.193043478,0.28173913
316.93,01/01/61,316.72,13.33333333,06/22/08,13.64102564,12.82051282,01/08/99,0.422608696,0.506086957,0.594782609
317.7,02/01/61,316.78,0,0,0,0,12/19/99,0.219130435,0.307826087,0.391304348
318.54,03/01/61,316.83,0,0,0,0,01/20/01,0.213913043,0.297391304,0.380869565
319.48,04/01/61,316.88,0,0,0,0,01/18/02,0.349565217,0.427826087,0.52173913
320.58,05/01/61,316.93,0,0,0,0,02/02/03,0.40173913,0.490434783,0.579130435
319.77,06/01/61,316.99,0,0,0,0,12/19/03,0.40173913,0.495652174,0.589565217
318.57,07/01/61,317.04,0,0,0,0,01/15/05,0.365217391,0.448695652,0.537391304
316.79,08/01/61,317.09,0,0,0,0,02/02/06,0.443478261,0.532173913,0.620869565
314.8,09/01/61,317.15,0,0,0,0,02/04/07,0.406956522,0.495652174,0.584347826
315.38,10/01/61,317.21,0,0,0,0,12/20/07,0.40173913,0.485217391,0.568695652
316.1,11/01/61,317.26,0,0,0,0,01/09/09,0.333913043,0.396521739,0.48
317.01,12/01/61,317.31,0,0,0,0,01/29/10,0.412173913,0.495652174,0.594782609
317.94,01/01/62,317.36,0,0,0,0,01/15/11,0.443478261,0.526956522,0.620869565
318.56,02/01/62,317.4,0,0,0,0,0,0,0,0
