,time,temp
0,2022-07-29,03:14:50,18.1
1,2022-07-29,03:14:51,18.2
2,2022-07-29,03:14:52,@!#F
3,2022-07-29,03:14:53,18.4
4,2022-07-29,03:14:54,18.5
5,2022-07-29,03:14:55,NaT
6,2022-07-29,03:14:56,18.7
7,2022-07-29,03:14:57,18.8
8,2022-07-29,03:14:58,18.9
9,2022-07-29,03:14:59,19
10,2022-07-29,03:15:00,19.1
11,2022-07-29,03:15:01,19.2
12,2022-07-29,03:15:02,19.3
13,2022-07-29,03:15:03,19.2
14,2022-07-29,03:15:04,19.1
15,2022-07-29,03:15:05,19
16,2022-07-29,03:15:06,
17,2022-07-29,03:15:07,18.8
18,2022-07-29,03:15:08,18.7
19,2022-07-29,03:15:09,18.6
20,2022-07-29,03:15:10,18.5
21,2022-07-29,03:15:11,18.4
22,2022-07-29,03:15:12,300.2
23,2022-07-29,03:15:13,18.2
24,2022-07-29,03:15:14,18.1
25,2022-07-29,03:15:15,18
26,2022-07-29,03:15:16,18
27,2022-07-29,03:15:17,18
28,2022-07-29,03:15:18,18
29,2022-07-29,03:15:19,
30,2022-07-29,03:15:20,18.1
31,2022-07-29,03:15:21,18.2
32,2022-07-29,03:15:22,18.3
33,2022-07-29,03:15:23,18.4
34,2022-07-29,03:15:24,18.5
35,2022-07-29,03:15:25,18.6
36,2022-07-29,03:15:26,18.7
37,2022-07-29,03:15:27,18.8
38,2022-07-29,03:15:28,18.9
39,2022-07-29,03:15:29,19
40,2022-07-29,03:15:30,19.1
41,2022-07-29,03:15:31,19.2
42,2022-07-29,03:15:32,
43,2022-07-29,03:15:33,19.3
44,2022-07-29,03:15:34,19.3
45,2022-07-29,03:15:35,19.4
46,2022-07-29,03:15:36,19.5
47,2022-07-29,03:15:37,19.6
48,2022-07-29,03:15:38,19.7
49,2022-07-29,03:15:39,19.8
50,2022-07-29,03:15:40,19.9
51,2022-07-29,03:15:41,20
52,2022-07-29,03:15:42,20.1
53,2022-07-29,03:15:43,20.2
54,2022-07-29,03:15:44,20.3
55,2022-07-29,03:15:45,20.4
56,2022-07-29,03:15:46,NaT
57,2022-07-29,03:15:47,20.6
58,2022-07-29,03:15:48,20.6
59,2022-07-29,03:15:49,20.4
60,2022-07-29,03:15:50,20.3
61,2022-07-29,03:15:51,20.1
62,2022-07-29,03:15:52,19.9
63,2022-07-29,03:15:53,19.7
64,2022-07-29,03:15:54,19.5
65,2022-07-29,03:15:55,19.3
66,2022-07-29,03:15:56,1.5
67,2022-07-29,03:15:57,18.9
68,2022-07-29,03:15:58,18.7
69,2022-07-29,03:15:59,18.5
70,2022-07-29,03:16:00,18.3
71,2022-07-29,03:16:01,18.4
72,2022-07-29,03:16:02,18.5
73,2022-07-29,03:16:03,18.6
74,2022-07-29,03:16:04,18.7
75,2022-07-29,03:16:05,18.8
76,2022-07-29,03:16:06,18.9
77,2022-07-29,03:16:07,19
78,2022-07-29,03:16:08,NaT
79,2022-07-29,03:16:09,19.2
80,2022-07-29,03:16:10,19.3
81,2022-07-29,03:16:11,19.4
82,2022-07-29,03:16:12,19.5
83,2022-07-29,03:16:13,19.6
84,2022-07-29,03:16:14,0.02
85,2022-07-29,03:16:15,19.7
86,2022-07-29,03:16:16,19.7
87,2022-07-29,03:16:17,19.6
88,2022-07-29,03:16:18,19.5
89,2022-07-29,03:16:19,19.4
90,2022-07-29,03:16:20,19.3
91,2022-07-29,03:16:21,19.2
92,2022-07-29,03:16:22,19.1
93,2022-07-29,03:16:23,19
94,2022-07-29,03:16:24,18.9
95,2022-07-29,03:16:25,abc
96,2022-07-29,03:16:26,18.7
97,2022-07-29,03:16:27,18.6
98,2022-07-29,03:16:28,18.5
99,2022-07-29,03:16:29,18.4
100,2022-07-29,03:16:30,NaT
101,2022-07-29,03:16:31,19.2
102,2022-07-29,03:16:32,19.1
103,2022-07-29,03:16:33,19
104,2022-07-29,03:16:34,18.9
105,2022-07-29,03:16:35,X&Z
106,2022-07-29,03:16:36,18.7
107,2022-07-29,03:16:37,18.6
108,2022-07-29,03:16:38,18.5
